FACTOR	EXPR_FOLDCHANGE	EXPR_GM12878	EXPR_K562	Protection_GM12878_protection_mean	Protection_GM12878_protection_median	Protection_GM12878_protection_std	Protection_K562_protection_mean	Protection_K562_protection_median	Protection_K562_protection_std	Protection_protection_ks_stat	Protection_protection_ks_pvalue	Protection_GM12878_tc_mean	Protection_GM12878_tc_median	Protection_GM12878_tc_std	Protection_K562_tc_mean	Protection_K562_tc_median	Protection_K562_tc_std	Protection_tc_ks_stat	Protection_tc_ks_pvalue	Protection_GM12878_fos_mean	Protection_GM12878_fos_median	Protection_GM12878_fos_std	Protection_K562_fos_mean	Protection_K562_fos_median	Protection_K562_fos_std	Protection_fos_ks_stat	Protection_fos_ks_pvalue	Protection_GM12878_flr_mean	Protection_GM12878_flr_median	Protection_GM12878_flr_std	Protection_K562_flr_mean	Protection_K562_flr_median	Protection_K562_flr_std	Protection_flr_ks_stat	Protection_flr_ks_pvalue
ETS1	-6.1447406735	9.4926612556	3.347920582	0.0993364304354	0.0876260863285	0.0349105810398	0.113422878602	0.0961024579311	0.0496120521656	0.0790763295075	-214.239433963	0.793870338995	0.800412141538	0.0572819262063	0.710393288496	0.725807024707	0.0343720908672	-0.454099142992	-300.0	0.498303439468	0.487269745142	0.12991971889	0.483485274168	0.452813525107	0.0668751219488	-0.17102641971	-32.3622071623	0.346632391368	0.345941858167	0.05234094643	0.311441161824	0.308418242928	0.0242540498823	-0.449289530881	-300.0
FLII	-5.7267807974	8.5333091889	2.8065283915	0.203702916681	0.180338767511	0.0876439751087	0.148645447748	0.127723313733	0.0633127485966	-0.147278850773	-300.0	0.749133458398	0.753529674949	0.0545704798309	0.710775706704	0.721691030524	0.0352551951254	-0.0501263093616	-300.0	0.180470671522	0.1705182608	0.115898712603	0.175488850424	0.161029851949	0.0588346128425	-0.00555555555556	-3.42867021203	0.290423691515	0.292924445193	0.0408333246443	0.269468111679	0.270396746181	0.0168123378034	-0.243614008085	-300.0
PAX5	-5.2702007889	9.8008520111	4.5306512222	0.101226351486	0.09332197765	0.0348591909047	0.114469456258	0.106715950975	0.0462021741648	0.00361334044373	-122.96919346	0.767230364966	0.774882335385	0.0692798295141	0.708864856729	0.72880330401	0.0412474228554	-0.172851284926	-300.0	0.400302906902	0.375508823588	0.0886983835931	0.430336706003	0.376948790511	0.17317233548	0.00522220395638	-2.87520353662	0.308093168646	0.305233885392	0.0705697309968	0.285812027209	0.281775197119	0.0287010226736	-0.328802193624	-300.0
EBF1	-4.7106986376	8.5508527222	3.8401540847	0.210997124095	0.193950373326	0.0548238215582	0.232039119221	0.209100065132	0.0762343133647	0.126009657205	-61.7358419955	0.854295326894	0.860393514639	0.0481508987586	0.737730243312	0.750359690491	0.0290782820826	-0.64157306164	-300.0	0.394976255963	0.379235634483	0.144265173982	0.39143504147	0.358576058642	0.0669250668937	-0.0402695040345	-7.18624032446	0.32100223655	0.319499634039	0.0448123520216	0.299814808148	0.297956483313	0.0238552560279	-0.386349510797	-300.0
EGR2	-4.387910581	8.0011205333	3.6132099524	0.0970034328475	0.0873788578303	0.0364096976985	0.116520333522	0.0995485499811	0.057588158515	0.126231063	-140.120289631	0.863306289795	0.871467432	0.0600148933719	0.725990332792	0.743353178703	0.0329081917023	-0.631271374839	-300.0	0.408617662453	0.379666648786	0.0928832612113	0.456242726308	0.404180773569	0.16278845356	0.0146324393714	-9.47725215074	0.348914062353	0.345516212742	0.0751083995611	0.330046132427	0.323821480628	0.0297240138265	-0.357722608243	-300.0
TP53	-3.4232058254	9.438751	6.0155451746	0.284551374849	0.246746257604	0.11417417154	0.205263171476	0.194614691407	0.0597476458088	-0.238533125721	-220.182782526	0.73434718507	0.749662759483	0.0359931124714	0.764819893861	0.770598415968	0.0577737364742	0.0483426322476	-162.63942904	0.316447038823	0.2063704968	0.250744139694	0.212863446104	0.203901817111	0.0712997776869	-0.0636597938144	-2.45655688003	0.283594809052	0.284508812388	0.0633079846504	0.281432370673	0.273772604657	0.029352923766	-0.0119038613667	-300.0
STAT1	-3.0891702317	11.2946308667	8.2054606349	0.183644942946	0.158867724713	0.0785310957609	0.136665195946	0.11750963915	0.0576004398113	-0.13546696942	-299.999997712	0.838336179351	0.844249822831	0.0464765565172	0.749337463738	0.76098917076	0.0367230096866	-0.523738975629	-300.0	0.444346329776	0.425018822525	0.111002785445	0.457370616256	0.425078706443	0.131675535389	0.0732157285214	-0.932045308237	0.326543852943	0.324944092261	0.0280967104418	0.332910955241	0.334375280844	0.0466087765871	0.0613157154251	-300.0
HNF1B	-2.9064154892	6.2265196056	3.3201041164	0.19738935524	0.15833255521	0.108905498466	0.145147893284	0.120527747766	0.0730086112847	-0.0945288980097	-86.5032579421	0.744422961646	0.745757673004	0.0337340539048	0.750079732277	0.760502188475	0.0505692917094	0.129692572108	-92.1068076199	0.216772577744	0.186251507408	0.183266565922	0.186908765129	0.172038595599	0.0793212332968	-0.0510989010989	-1.41786579683	0.270299091599	0.269263704081	0.0514868092122	0.265041854221	0.260451367856	0.0257276694926	-0.113386502722	-289.808338086
PRDM1	-2.8595321966	7.5904785722	4.7309463757	0.23165784596	0.207723960713	0.0943765380423	0.163565768331	0.146996566359	0.057440673558	-0.0980401747982	-169.559793858	0.71368045747	0.725102563934	0.0465285036448	0.715911468302	0.739417621003	0.07969813227	0.0436544107159	-191.19154785	0.498668955094	0.407545142403	0.233225059805	0.393845980878	0.358027222125	0.136909160702	-0.066013681592	-3.26164792808	0.287219510163	0.284159766199	0.0946425227067	0.282967019765	0.272282386708	0.0393244409544	-0.0764711002277	-300.0
STAT4	-2.825769995	5.2946641167	2.4688941217	0.240987173146	0.217789060463	0.0743367983535	0.20314547587	0.188868041036	0.048083975248	-0.139709661262	-261.344683684	0.842183753608	0.845836362816	0.0430627553462	0.758428458165	0.768292533003	0.0333928609042	-0.526848147055	-300.0	0.367440166341	0.343881074846	0.119392184228	0.347725643078	0.333697397135	0.0933559327315	-0.0117769454848	-2.78090112097	0.297796608162	0.296115267027	0.0443054568178	0.288815320514	0.28616306103	0.0280160463873	-0.168098898595	-300.0
