FACTOR	EXPR_FOLDCHANGE	EXPR_GM12878	EXPR_K562	PIQ_99_GM12878_protection_mean	PIQ_99_GM12878_protection_median	PIQ_99_GM12878_protection_std	PIQ_99_K562_protection_mean	PIQ_99_K562_protection_median	PIQ_99_K562_protection_std	PIQ_99_protection_ks_stat	PIQ_99_protection_ks_pvalue	PIQ_99_GM12878_tc_mean	PIQ_99_GM12878_tc_median	PIQ_99_GM12878_tc_std	PIQ_99_K562_tc_mean	PIQ_99_K562_tc_median	PIQ_99_K562_tc_std	PIQ_99_tc_ks_stat	PIQ_99_tc_ks_pvalue	PIQ_99_GM12878_fos_mean	PIQ_99_GM12878_fos_median	PIQ_99_GM12878_fos_std	PIQ_99_K562_fos_mean	PIQ_99_K562_fos_median	PIQ_99_K562_fos_std	PIQ_99_fos_ks_stat	PIQ_99_fos_ks_pvalue	PIQ_99_GM12878_flr_mean	PIQ_99_GM12878_flr_median	PIQ_99_GM12878_flr_std	PIQ_99_K562_flr_mean	PIQ_99_K562_flr_median	PIQ_99_K562_flr_std	PIQ_99_flr_ks_stat	PIQ_99_flr_ks_pvalue
ETS1	-6.1447406735	9.4926612556	3.347920582	0.0726115099156	0.0597675280999	0.0345631927712	0.0753305361356	0.0654207639093	0.0346882868936	0.0532215172503	-131.558901927	0.739513599625	0.745476147038	0.0650899776637	0.639590538675	0.65087626336	0.0417571996054	-0.529905841763	-300.0	0.563475373316	0.559082568807	0.0757744285186	0.506241930125	0.503211009174	0.060374664374	-0.322177406647	-299.993126728	0.34043818127	0.340228995608	0.052173376198	0.310690617861	0.309104868383	0.0255951922236	-0.475396344181	-300.0
FLII	-5.7267807974	8.5333091889	2.8065283915	0.0573819174857	0.0474737236668	0.0315745286323	0.0506708598127	0.0388621010768	0.0291270867604	-0.0939510817533	-300.0	0.686234724181	0.690346299057	0.0559575521938	0.641693306582	0.648500148782	0.0446788815935	-0.228521332197	-83.3847194526	0.489482167707	0.48915232368	0.0893376265192	0.470521480254	0.467877077499	0.0593355221572	-0.0966117744808	-17.3157147896	0.289192259958	0.289340758047	0.0351855914587	0.265915998191	0.265247803655	0.0163933116791	-0.438448146616	-300.0
PAX5	-5.2702007889	9.8008520111	4.5306512222	0.101925239565	0.0900529171688	0.0396545382153	0.105136361087	0.0929518707502	0.0423201576833	0.0374873863686	-56.432344089	0.72602931193	0.734936761576	0.0758817540817	0.631051695924	0.646702520841	0.0540062914774	-0.427663860849	-232.839761454	0.484110598799	0.483959935229	0.094378853326	0.445744849559	0.442463793018	0.0724419221436	-0.189374657335	-49.2536877523	0.318536084801	0.319062349399	0.063721676495	0.293820913181	0.293405404843	0.0316999410595	-0.384361946775	-300.0
EBF1	-4.7106986376	8.5508527222	3.8401540847	0.0865776168376	0.0755329822809	0.0293861650671	0.0876575475148	0.0771759675252	0.0345148562951	0.000900509844993	-214.61820644	0.80546375514	0.815068365469	0.0609593227936	0.66746685848	0.679494866439	0.0498386224807	-0.70884392735	-300.0	0.555350868206	0.554568596338	0.0787404128132	0.519580795282	0.519729579833	0.0563747337996	-0.198076212493	-69.2122772915	0.313075219542	0.313168545163	0.0428194133773	0.290616128975	0.290910742056	0.0254818696922	-0.438645847043	-300.0
EGR2	-4.387910581	8.0011205333	3.6132099524	0.059450624943	0.0488830815524	0.0301488093928	0.060697706303	0.0520536725361	0.0333485591363	0.0295931426664	-236.76179554	0.807745687332	0.814441793981	0.0658889124763	0.652533367823	0.663628397977	0.0433786154395	-0.718284613748	-300.0	0.46763593834	0.460971940283	0.0956717354113	0.448855777567	0.439202636095	0.0662508833501	-0.0944100098656	-90.0260692735	0.340023043867	0.339528750601	0.0740095899661	0.321568047888	0.317603766945	0.0335630929954	-0.338354321873	-300.0
TP53	-3.4232058254	9.438751	6.0155451746	0.0642192866221	0.0540422334673	0.0343709775641	0.0611864059914	0.0473825370986	0.0272012615796	-0.150909513812	-226.662344627	0.725390914065	0.735366734559	0.081796855377	0.68161249388	0.700712595857	0.05165445845	-0.10518539198	-24.005378501	0.569230835144	0.561929894774	0.120985503263	0.544895136533	0.543413301268	0.0826024654979	-0.0872962066182	-7.68212077704	0.287673855	0.286983277689	0.049752933837	0.272326105614	0.272342754682	0.031273317538	-0.258185972938	-300.0
STAT1	-3.0891702317	11.2946308667	8.2054606349	0.0602974689677	0.0503726114723	0.0315177795744	0.0548987585079	0.043666477417	0.0291087301058	-0.057773376994	-270.096404962	0.78232161218	0.796527208572	0.0673294225264	0.687141726712	0.695947327066	0.0553665343617	-0.557280792906	-279.972226755	0.410879751807	0.40886606005	0.0676014210237	0.400856037849	0.398828752445	0.0673190879234	-0.00745419726173	-4.8654628005	0.341396102712	0.341754852767	0.0410328884283	0.327631811851	0.328080121884	0.0287318508065	-0.273054298246	-300.0
HNF1B	-2.9064154892	6.2265196056	3.3201041164	0.108684651061	0.086146691671	0.0609254063622	0.0868410195549	0.065192065586	0.0593134894147	-0.221452441793	-300.0	0.713984850366	0.729228528741	0.0728728638179	0.717525664379	0.736019640025	0.077024732441	0.0412671511138	-3.9945418597	0.498087756389	0.492202171774	0.119063981185	0.4728201667	0.472241325581	0.090752697309	-0.0819353327085	-3.26278485317	0.291409893154	0.291639071968	0.0356974105552	0.278246010585	0.280075367152	0.0229554782321	-0.328108621295	-300.0
PRDM1	-2.8595321966	7.5904785722	4.7309463757	0.109459736166	0.0943386707515	0.0545330794156	0.117669611805	0.103803460056	0.0593551740263	0.0590977250681	-37.9415950829	0.660429532273	0.665926757024	0.0873831113167	0.620058931886	0.633657180205	0.0526999027827	-0.0326354498148	-31.1918519001	0.587895062608	0.584305135384	0.119326483589	0.58410580022	0.57853284755	0.0782899767229	-0.0161422516511	-5.2998411028	0.275562386414	0.273760071248	0.0836444225957	0.263773188284	0.259008378394	0.0439199435109	-0.235761753307	-300.0
STAT4	-2.825769995	5.2946641167	2.4688941217	0.0771904334343	0.0669209782424	0.0317155605495	0.0723638309119	0.0593550751965	0.0302134418473	-0.135972713971	-300.0	0.804161843011	0.823198045191	0.0710404075928	0.725373603285	0.737370014038	0.060329881899	-0.469073170929	-164.276500958	0.63447764273	0.635198345363	0.0877502159076	0.609615080648	0.609840491833	0.0715948401572	-0.122391201032	-15.7054778675	0.308523888296	0.307528833234	0.0392384363786	0.300129063915	0.298349891936	0.0284553795221	-0.142375308917	-300.0
