FACTOR	EXPR_FOLDCHANGE	EXPR_GM12878	EXPR_K562	FLR_85_GM12878_protection_mean	FLR_85_GM12878_protection_median	FLR_85_GM12878_protection_std	FLR_85_K562_protection_mean	FLR_85_K562_protection_median	FLR_85_K562_protection_std	FLR_85_protection_ks_stat	FLR_85_protection_ks_pvalue	FLR_85_GM12878_tc_mean	FLR_85_GM12878_tc_median	FLR_85_GM12878_tc_std	FLR_85_K562_tc_mean	FLR_85_K562_tc_median	FLR_85_K562_tc_std	FLR_85_tc_ks_stat	FLR_85_tc_ks_pvalue	FLR_85_GM12878_fos_mean	FLR_85_GM12878_fos_median	FLR_85_GM12878_fos_std	FLR_85_K562_fos_mean	FLR_85_K562_fos_median	FLR_85_K562_fos_std	FLR_85_fos_ks_stat	FLR_85_fos_ks_pvalue	FLR_85_GM12878_flr_mean	FLR_85_GM12878_flr_median	FLR_85_GM12878_flr_std	FLR_85_K562_flr_mean	FLR_85_K562_flr_median	FLR_85_K562_flr_std	FLR_85_flr_ks_stat	FLR_85_flr_ks_pvalue
ETS1	-6.1447406735	9.4926612556	3.347920582	0.00844202255033	0.00666441315517	0.00748489501161	0.00686316153555	0.00535716288242	0.00579982612984	-0.0409935925275	-300.0	0.820822611817	0.829127187879	0.0499461843569	0.749576848268	0.761915196105	0.0315666660845	-0.524769443339	-300.0	0.543447061511	0.540791284404	0.0445600592124	0.493938007369	0.49128440367	0.03085381995	-0.47906513607	-300.0	0.331418597994	0.330650979787	0.090434454616	0.305825832569	0.300033530036	0.0379477124205	-0.3286358735	-300.0
FLII	-5.7267807974	8.5333091889	2.8065283915	0.0253147746807	0.0207319911138	0.0144435073555	0.0184906448647	0.0150661710175	0.00980221861695	-0.105962605487	-300.0	0.799946867934	0.806671870137	0.0524303828985	0.744742572482	0.754782474126	0.0301908779401	-0.309134206316	-300.0	0.478986543672	0.477807726815	0.0629121178502	0.449275306074	0.443726610904	0.0322221961648	-0.218988957585	-300.0	0.288974250926	0.288784724315	0.0521531615933	0.266159022885	0.265633221677	0.0237844978406	-0.314616842811	-300.0
PAX5	-5.2702007889	9.8008520111	4.5306512222	0.0288014225512	0.0244187285789	0.0157456431789	0.0230924782515	0.0208781782374	0.0115435135509	-0.0995124412713	-300.0	0.802323044031	0.811682671123	0.0583572695796	0.748523377481	0.765104643608	0.0351016732105	-0.307351645614	-300.0	0.463636438894	0.460589636546	0.0544431986344	0.430114571965	0.426267863635	0.0344864822851	-0.333819510247	-300.0	0.318197214986	0.317367258806	0.127121993606	0.309208234467	0.295052236978	0.0479673330474	-0.156351995434	-131.04894119
EBF1	-4.7106986376	8.5508527222	3.8401540847	0.0505003805744	0.0450655700072	0.0168638921278	0.0593153243165	0.0518413555745	0.0236582374914	0.0280462476656	-300.0	0.87895631186	0.884815004311	0.0401040775758	0.76589551534	0.775297248474	0.0251461037492	-0.679558058561	-300.0	0.546652093705	0.545477307873	0.0411971536714	0.512478892807	0.511402302091	0.026158050567	-0.382805309705	-300.0	0.313265495198	0.312953933508	0.0866163061944	0.296592123988	0.292212469607	0.0397305096137	-0.22881107229	-300.0
EGR2	-4.387910581	8.0011205333	3.6132099524	0.0108763491565	0.00925616946474	0.00715793492754	0.00871828159282	0.00750150055839	0.00547330943844	-0.0435295212197	-300.0	0.884534994807	0.893304262441	0.0549424430854	0.757070757622	0.774680450212	0.030471564117	-0.665258981445	-300.0	0.433345017641	0.42707853711	0.0617602175537	0.417985475713	0.407467753636	0.0366183175178	-0.177520359693	-300.0	0.341215357267	0.339224846206	0.141459902425	0.3370437869	0.317609657881	0.0533375852341	-0.130345347097	-300.0
TP53	-3.4232058254	9.438751	6.0155451746	0.0460466632238	0.0373320242548	0.0258045599959	0.0343521548218	0.0280365348614	0.0184519396538	-0.12522054628	-300.0	0.769980070747	0.782017248858	0.0304044999771	0.791740996771	0.799302067131	0.0509190767511	0.0389661127079	-300.0	0.560249754154	0.55937711842	0.0635189335344	0.534031635746	0.53296157836	0.0352735679069	-0.189315486502	-300.0	0.30245635475	0.300629877835	0.108745282605	0.300665495461	0.288936398972	0.0497549005223	-0.0850955803199	-53.1820081733
STAT1	-3.0891702317	11.2946308667	8.2054606349	0.0184863830405	0.0146900688385	0.0126486174046	0.0133946878973	0.0110427141658	0.00912289007296	-0.0281877756585	-300.0	0.861505755162	0.868028527367	0.0437619525212	0.775677172629	0.785790119469	0.0276872083212	-0.599158970918	-300.0	0.395148161138	0.393250551709	0.041687738056	0.38510535533	0.380671713478	0.0275971382045	-0.0862408573941	-300.0	0.340218682247	0.340093526004	0.0690338573134	0.331816027273	0.328940808688	0.0490401718655	-0.0659982890707	-103.638829455
HNF1B	-2.9064154892	6.2265196056	3.3201041164	0.0188322452502	0.0150910252668	0.0166642570593	0.0133402660288	0.0111565124347	0.0124151637549	-0.0297319897522	-300.0	0.779980290147	0.789477840404	0.0486599625887	0.730799774955	0.736506408839	0.0273824539769	-0.337273481896	-300.0	0.486520012995	0.488279322773	0.0665662003323	0.463655247975	0.465222877005	0.0382372397286	-0.096589167615	-117.175208551	0.290168228465	0.290964413884	0.0809537346116	0.286202352442	0.281953327724	0.0362571418225	-0.0816919509131	-31.2974082203
PRDM1	-2.8595321966	7.5904785722	4.7309463757	0.0982307658053	0.0879412406684	0.0495609158548	0.0699527345338	0.0606464920975	0.0340111763667	-0.021428025681	-300.0	0.765463657616	0.784197283911	0.0373984853105	0.796026401127	0.806955420531	0.0642840498736	0.0274334346781	-300.0	0.540167555829	0.534493841344	0.0732139986159	0.533650595939	0.520955611694	0.0422049945443	-0.0591123742304	-143.129544719	0.289289427767	0.285218922566	0.154641961798	0.286516481787	0.260912261401	0.0643199818563	-0.198756074108	-103.582814085
STAT4	-2.825769995	5.2946641167	2.4688941217	0.0262835452144	0.0210971588625	0.0145214963144	0.019750934074	0.016764457821	0.0103838786834	-0.19501119333	-300.0	0.85981602063	0.865126137852	0.0394148015289	0.788581470329	0.796488046315	0.0252554952825	-0.580729065692	-300.0	0.622765199494	0.621547951122	0.0479522240308	0.601643026882	0.599573816887	0.028788273084	-0.18201552894	-300.0	0.316648720345	0.314883748121	0.0647354063919	0.303718307734	0.30233421389	0.0472473563665	-0.0933253115151	-102.539370309
