FACTOR	EXPR_FOLDCHANGE	EXPR_GM12878	EXPR_K562	Cuellar_90_GM12878_protection_mean	Cuellar_90_GM12878_protection_median	Cuellar_90_GM12878_protection_std	Cuellar_90_K562_protection_mean	Cuellar_90_K562_protection_median	Cuellar_90_K562_protection_std	Cuellar_90_protection_ks_stat	Cuellar_90_protection_ks_pvalue	Cuellar_90_GM12878_tc_mean	Cuellar_90_GM12878_tc_median	Cuellar_90_GM12878_tc_std	Cuellar_90_K562_tc_mean	Cuellar_90_K562_tc_median	Cuellar_90_K562_tc_std	Cuellar_90_tc_ks_stat	Cuellar_90_tc_ks_pvalue	Cuellar_90_GM12878_fos_mean	Cuellar_90_GM12878_fos_median	Cuellar_90_GM12878_fos_std	Cuellar_90_K562_fos_mean	Cuellar_90_K562_fos_median	Cuellar_90_K562_fos_std	Cuellar_90_fos_ks_stat	Cuellar_90_fos_ks_pvalue	Cuellar_90_GM12878_flr_mean	Cuellar_90_GM12878_flr_median	Cuellar_90_GM12878_flr_std	Cuellar_90_K562_flr_mean	Cuellar_90_K562_flr_median	Cuellar_90_K562_flr_std	Cuellar_90_flr_ks_stat	Cuellar_90_flr_ks_pvalue
ETS1	-6.1447406735	9.4926612556	3.347920582	0.0761554641175	0.0216404489378	0.176556648661	0.0324145326265	0.00833687905542	0.0331795881751	-0.0685574055666	-5.18780492853	0.752487693159	0.759168624294	0.0273162157721	0.754146694553	0.764164341725	0.0562405655678	0.616449945167	-1.54479967678	0.344695887442	0.340587639311	0.0437600510546	0.325234293263	0.318034447822	0.0286847775476	-0.183700779078	-300.0	0.446241203134	0.446576418938	0.0432705484127	0.405953552954	0.405859581789	0.0261107535523	-0.415778081568	-36.6133783193
FLII	-5.7267807974	8.5333091889	2.8065283915	0.166172392417	0.0966682153601	0.246171239689	0.0727001073885	0.053256527588	0.068832595561	-0.0676593521421	-1.59317126964	0.756627444115	0.765194339062	0.0681351860298	0.697646170868	0.712168141837	0.0450374751652	-0.0216011042098	-12.8436711927	0.309169622197	0.302168385924	0.0367175215449	0.313414864687	0.309557959026	0.0574089272832	0.056200687074	-64.0616971035	0.56275147676	0.595035366376	0.152667006103	0.547693214918	0.548417483527	0.0321606313843	-0.461650485437	-16.2014172853
PAX5	-5.2702007889	9.8008520111	4.5306512222	0.0448363633678	0.0219633277727	0.145296978981	0.0328596257879	0.00380752575543	0.0339956750994	-0.341358024691	-23.513357015	0.760166619517	0.771180616849	0.0556475523831	0.760313861203	0.771961052249	0.0651246242115	0.65822147651	-1.09487090915	0.431510655708	0.421907555515	0.0702592204102	0.41623225904	0.401063495165	0.0467547036455	-0.0796913180944	-224.709670884	0.539709604543	0.542218317991	0.0471259261178	0.501123394056	0.50210339153	0.0194475642662	-0.510956117054	-47.3972123253
EBF1	-4.7106986376	8.5508527222	3.8401540847	0.0545925263855	0.0214795823653	0.156383116346	0.0321536337819	0.0066636282628	0.0320293211523	-0.157766658697	-9.21595703826	0.729563794934	0.730536261984	0.0159270922702	0.763216214953	0.772009990417	0.0502789139713	0.0536209382278	-33.3024822812	0.351351332271	0.342951184609	0.040422146784	0.360284680748	0.353755644673	0.0579002898813	0.00235456457126	-214.967917379	0.181809875942	0.182469064983	0.0269413511774	0.171324769659	0.170306350759	0.00551472240049	-0.466717479675	-46.0103247433
EGR2	-4.387910581	8.0011205333	3.6132099524	0.0633472005123	0.0199830130931	0.158602500901	0.0308197761053	0.00579926557769	0.0316283573798	-0.126601338432	-9.36332602805	0.76498087833	0.774767320081	0.0475189917404	0.709264484523	0.721735726702	0.0420931614721	-0.0151891806731	-46.3829113849	0.379110843615	0.370342499577	0.0616784901695	0.373310507017	0.358758398215	0.0395295226804	-0.0187349932391	-300.0	0.226238510385	0.226257619815	0.0231711269441	0.21337587386	0.213009358593	0.00916365738862	-0.486144122731	-92.5038907697
TP53	-3.4232058254	9.438751	6.0155451746	0.142786848214	0.0284242321815	0.247863367302	0.0326473067476	0.0214985008421	0.0336913095716	-0.0972134495248	-2.29004265068	0.763124193795	0.772653262017	0.0342856983472	0.777958807027	0.786259444491	0.0485202727892	0.436085960398	-2.64219652166	0.294340528262	0.286305209426	0.0435978123509	0.300109916341	0.287714395832	0.0723015229905	0.0888042094243	-14.4060026699	0.351110037145	0.336702036925	0.0683153401679	0.330966884853	0.323651414003	0.0583602526631	-0.129351032448	-5.49898790402
STAT1	-3.0891702317	11.2946308667	8.2054606349	0.0786851885806	0.025310729273	0.182696772317	0.0359742757042	0.0112473034045	0.0338214204698	-0.010268460109	-2.4016498444	0.769928261985	0.783633378593	0.0805340360681	0.695658625588	0.70071788017	0.0224761748645	-0.0554542732991	-23.1694968904	0.378929193669	0.373082348553	0.0383237565102	0.38560439238	0.37882484781	0.0404142252196	0.020421998854	-65.9359243155	0.117658244558	0.116816954976	0.00909110144665	0.121389708724	0.121253401583	0.0178276743675	0.00697064989518	-4.34270863625
HNF1B	-2.9064154892	6.2265196056	3.3201041164	0.113319798506	0.0200931738553	0.253352699908	0.0287333787748	0.00848871335322	0.0257872598609	-0.136299817793	-2.83713204027	0.771929086739	0.784022420016	0.0782813559021	0.666543713627	0.670884970546	0.0211027234505	-0.0699217549341	-15.2097557219	0.333386656934	0.328156873021	0.0420211259484	0.337563311104	0.329270513078	0.0704423861353	0.0892432981282	-7.14763696626	0.354082788478	0.352358960202	0.0297767387459	0.355338401374	0.359483359765	0.0690158549505	0.143438914027	-0.428576959072
PRDM1	-2.8595321966	7.5904785722	4.7309463757	0.167703687058	0.0699759279561	0.292914352798	0.0321353041294	0.0208525720252	0.0327010378161	-0.131591431731	-1.63142691954	0.776386330707	0.784374490505	0.0558751234661	0.657532500208	0.662637004582	0.0278226808873	-0.111078611219	-10.8987430587	0.298828923867	0.285267551617	0.0578101348317	0.31481539522	0.293268621951	0.0909164628074	0.109504110911	-10.4817928884	0.124186132038	0.124876666692	0.0730735020088	0.120567399248	0.117109201724	0.00598522560122	-0.259109730849	-4.48549415106
STAT4	-2.825769995	5.2946641167	2.4688941217	0.0327204241414	0.0143418930715	0.0311735915776	0.103986575912	0.0227733850908	0.222597057187	0.0688643249618	-0.923645198705	0.776203085397	0.786742668185	0.067200019428	0.663154866746	0.674786984878	0.0481963215356	-0.101975764484	-21.9633485848	0.365046949158	0.36076031273	0.0348131588365	0.371151329148	0.366607136585	0.036223153471	0.00318965686511	-59.0710106478	0.360748891623	0.365465114739	0.060694670258	0.357731002535	0.355220388525	0.0534148342335	-0.0760958205912	-5.19912762764
