METHOD	protection	tc	fos	flr
Cuellar_99	65	62	65	57
FLR_95	31	45	35	35
Boyle	36	59	45	33
Cuellar_80	76	60	46	51
Wellington	31	50	38	37
HINTBC	14	40	6	12
HINT	26	50	23	14
HINTBCN	36	43	16	12
FLR_99	37	52	39	30
Cuellar_85	62	66	57	54
Cuellar_90	59	57	32	53
Protection	71	76	51	56
Dnase2Tf	13	49	24	13
Centipede_95	37	35	34	36
FS	91	77	60	61
TC	58	38	38	52
Cuellar_95	71	73	45	57
PWM	76	78	87	55
Centipede_99	63	61	42	47
Neph	23	55	26	15
FLR_80	49	69	44	51
FLR_85	45	51	47	44
FLR_90	31	39	31	16
Centipede_90	36	41	41	45
PIQ_95	34	39	27	36
PIQ_99	38	52	41	40
Centipede_85	43	54	40	41
PIQ_90	36	46	35	26
Centipede_80	62	72	51	56
PIQ_85	38	50	38	40
PIQ_80	44	50	50	41
