FACTOR	EXPR_FOLDCHANGE	EXPR_GM12878	EXPR_K562	Neph_GM12878_protection_mean	Neph_GM12878_protection_median	Neph_GM12878_protection_std	Neph_K562_protection_mean	Neph_K562_protection_median	Neph_K562_protection_std	Neph_protection_ks_stat	Neph_protection_ks_pvalue	Neph_GM12878_tc_mean	Neph_GM12878_tc_median	Neph_GM12878_tc_std	Neph_K562_tc_mean	Neph_K562_tc_median	Neph_K562_tc_std	Neph_tc_ks_stat	Neph_tc_ks_pvalue	Neph_GM12878_fos_mean	Neph_GM12878_fos_median	Neph_GM12878_fos_std	Neph_K562_fos_mean	Neph_K562_fos_median	Neph_K562_fos_std	Neph_fos_ks_stat	Neph_fos_ks_pvalue	Neph_GM12878_flr_mean	Neph_GM12878_flr_median	Neph_GM12878_flr_std	Neph_K562_flr_mean	Neph_K562_flr_median	Neph_K562_flr_std	Neph_flr_ks_stat	Neph_flr_ks_pvalue
ETS1	-6.1447406735	9.4926612556	3.347920582	0.301308602922	0.289364780784	0.0945858910821	0.351678018846	0.335841412241	0.119182386096	0.0693935558633	-300.0	0.792130885618	0.799841201687	0.0607486019224	0.699121627924	0.71425495385	0.0390057498636	-0.533061716024	-300.0	0.472265951004	0.469596288866	0.0327713036312	0.42952105229	0.426905717151	0.0250484306184	-0.443910395887	-300.0	0.340290012321	0.340228995608	0.0394736487026	0.310309788694	0.309273112912	0.0178565081558	-0.60388017538	-300.0
FLII	-5.7267807974	8.5333091889	2.8065283915	0.379299938468	0.359071332976	0.104940620519	0.289218576439	0.273808689033	0.0698588893916	-0.21935355949	-300.0	0.741796843344	0.74843659357	0.0540737139945	0.688903459672	0.699794961931	0.0366584325419	-0.250471068645	-300.0	0.583461404108	0.580857757638	0.0441121315779	0.537861283577	0.532179422467	0.0279638498015	-0.374002036267	-300.0	0.289318415315	0.289386842963	0.0339267697244	0.265822513827	0.26523498048	0.0123039863996	-0.497893630296	-300.0
PAX5	-5.2702007889	9.8008520111	4.5306512222	0.52636910133	0.522486694951	0.132681498969	0.463921074912	0.466170905288	0.0994023047222	-0.0071196254587	-185.156305534	0.780927419988	0.790250920033	0.070981754802	0.697585460179	0.716732758985	0.0437963107997	-0.430472387386	-300.0	0.570348657057	0.569043645139	0.0348008819151	0.527487851245	0.525806470157	0.0239961943771	-0.47151916827	-300.0	0.318923965001	0.319293322802	0.0486910634592	0.297086332345	0.295277364323	0.0189837394102	-0.540392419881	-300.0
EBF1	-4.7106986376	8.5508527222	3.8401540847	0.352247933971	0.335944485297	0.101829366353	0.296762098964	0.285320379561	0.0720956354936	-0.042554521349	-299.99999189	0.856755186611	0.864376674607	0.0530832463913	0.7270173814	0.739998855804	0.034966732196	-0.74153060636	-300.0	0.559104395947	0.557278015686	0.0296856182401	0.523517702756	0.520325261883	0.0210958923389	-0.400695276542	-300.0	0.313085754349	0.313216246124	0.0324886338345	0.292857422924	0.292408772369	0.017380042545	-0.564289071021	-300.0
EGR2	-4.387910581	8.0011205333	3.6132099524	0.330030879527	0.320092846598	0.0887547444612	0.395964633186	0.37553282889	0.129494902866	0.030446170382	-300.0	0.853866106295	0.86223995047	0.0669603193454	0.70962418324	0.726201200987	0.0391380052198	-0.709028936494	-300.0	0.491476407331	0.487270346971	0.0388584339061	0.46677729519	0.458921845483	0.0238442484871	-0.325765661583	-300.0	0.339535618145	0.339348903251	0.0561677229095	0.321230057082	0.318631207678	0.0217875690672	-0.504374970261	-300.0
TP53	-3.4232058254	9.438751	6.0155451746	0.456536843102	0.470715507512	0.10918794005	0.361524887036	0.37939340681	0.0781354754694	-0.257180061544	-300.0	0.767281577794	0.775552085505	0.0663846059539	0.721165774235	0.738623826984	0.0379233912088	-0.157151551022	-198.903031105	0.501906388941	0.503508680064	0.0411661318283	0.479142067742	0.481516853129	0.0281036503761	-0.188336998424	-300.0	0.300967472404	0.300847917861	0.0443414300256	0.289929663593	0.287972123273	0.018717713015	-0.380960019668	-300.0
STAT1	-3.0891702317	11.2946308667	8.2054606349	0.364772926027	0.355330031928	0.0863625422366	0.29538761847	0.285886100961	0.0605168860636	-0.149911508783	-300.0	0.840943607868	0.849293974648	0.0497066165224	0.73665727817	0.74886189178	0.0389917461187	-0.645796731383	-300.0	0.512693778083	0.511144555376	0.0380050273709	0.495787871156	0.491864956552	0.0268470814276	-0.133435509543	-300.0	0.341401831906	0.341767549664	0.0373050305912	0.329891065284	0.32930493168	0.0205359724812	-0.365919292966	-300.0
HNF1B	-2.9064154892	6.2265196056	3.3201041164	0.298445409341	0.304569276537	0.0763563705781	0.224079762864	0.227242729921	0.0579011095821	-0.323674504013	-300.0	0.727645276525	0.740422292379	0.0315891584312	0.73928344108	0.745953877933	0.0564325181084	0.107856440609	-15.9373212754	0.526860324738	0.529603883779	0.0476322990847	0.506938079716	0.512928910558	0.0360452397372	-0.121411223273	-300.0	0.275406222733	0.275442667469	0.0345951602502	0.266261319073	0.265785018479	0.0184848537598	-0.319610308803	-300.0
PRDM1	-2.8595321966	7.5904785722	4.7309463757	0.480282075907	0.467142059176	0.13307742256	0.386285674914	0.375526675785	0.0910138606452	-0.0815062383104	-300.0	0.694306310042	0.717900271768	0.0504156247728	0.714553138719	0.726671901084	0.0883107392218	0.0970246417623	-31.8583613534	0.392108865331	0.388800482839	0.0406402712394	0.380945923517	0.375736395377	0.0274122645551	-0.0966890875737	-300.0	0.286739613355	0.28536166928	0.0762862521417	0.274388447082	0.27106269515	0.0351797454479	-0.396211611557	-300.0
STAT4	-2.825769995	5.2946641167	2.4688941217	0.451721263043	0.461864992502	0.0950656182202	0.37713379964	0.387294091977	0.0690179964765	-0.192218655854	-300.0	0.842408691734	0.850074639638	0.0472161124395	0.745785853894	0.756346923291	0.036065772711	-0.652179158596	-300.0	0.646469374558	0.6466255656	0.0320117951243	0.624251036496	0.625290683831	0.0243884452897	-0.227706335722	-300.0	0.314303434624	0.313714712539	0.031146038479	0.302937845678	0.302874231316	0.0219444056321	-0.338689569623	-300.0
TP63	-2.7040282939	7.2572711722	4.5532428783	0.358314752265	0.352386262715	0.0802945200678	0.292545687075	0.288758838992	0.0563127467125	-0.151286253681	-300.0	0.786875010308	0.796945132886	0.0699435580191	0.716580011992	0.736768471144	0.0422617701877	-0.288450559129	-300.0	0.482513956807	0.480379194227	0.0380457737317	0.469409081691	0.465582099088	0.0241078707181	-0.143924098595	-300.0	0.337312977405	0.336501625901	0.0717287345019	0.331853042065	0.326162616222	0.0300527489732	-0.294593183119	-300.0
NFKB1	-2.6782338148	9.3209454444	6.6427116296	0.357485944319	0.347685933684	0.0896173795442	0.301421561613	0.289208437812	0.0658152476049	-0.145625482654	-300.0	0.864239604816	0.871067143653	0.0547051143946	0.744648985836	0.758220566525	0.0337923247202	-0.686188256105	-300.0	0.663271016901	0.662327527768	0.0249676703284	0.64346171796	0.642233805698	0.0183171113009	-0.270521427875	-300.0	0.337598281754	0.337720900934	0.0382260101579	0.328219061464	0.32755575465	0.0173758014633	-0.328325440839	-300.0
MEF2C	-2.312784923	10.5691021611	8.2563172381	0.33767586943	0.336386887537	0.0923948036708	0.266095892465	0.266364905951	0.0697648002568	-0.201939246254	-300.0	0.739912134531	0.750968231151	0.0356328930154	0.758975767706	0.766754508025	0.0527778871586	0.0612751236845	-153.478736029	0.513481507398	0.514689408625	0.0245248490318	0.500524080411	0.503544943051	0.0186488849687	-0.182279566128	-300.0	0.337294669249	0.337031938892	0.0295152115527	0.328919326251	0.328945087662	0.0146047569281	-0.283552594236	-300.0
ZEB1	-2.2585500701	7.4546499167	5.1960998466	0.487520302268	0.47634822089	0.102233055913	0.395138467853	0.391855761995	0.0663357434876	-0.0930966837856	-300.0	0.799607247487	0.805976206656	0.0540705086293	0.728950584882	0.739942129265	0.0337860626374	-0.37495518544	-300.0	0.520757077063	0.520437201758	0.0314629365562	0.511307098805	0.508600910764	0.0185988805674	-0.0909061174871	-300.0	0.300111251117	0.299947314563	0.040571624185	0.293120595183	0.292706134171	0.0163978502924	-0.194908629566	-300.0
HNF4G	-2.2212048127	4.5430166222	2.3218118095	0.330538302715	0.325383917417	0.0808652094424	0.24580280768	0.242826920964	0.0558712946584	-0.291069384736	-300.0	0.779399808904	0.787457866114	0.0556261469927	0.73724749447	0.750265822813	0.0367458412811	-0.2013685865	-290.082019505	0.495478160776	0.497446862572	0.0273839673579	0.484688962015	0.487116748762	0.0184430708591	-0.137501914143	-300.0	0.326975884348	0.326548637444	0.0329972617884	0.316745381206	0.318136678447	0.0178500694133	-0.269879017764	-300.0
REL	-2.0628250132	8.3178302778	6.2550052646	0.353726033177	0.343221370666	0.0886924139326	0.29389559092	0.283672925143	0.0631225297027	-0.143705948028	-300.0	0.826361799077	0.834407159867	0.0610723418112	0.738558011346	0.754428016692	0.0382541765335	-0.497461607441	-300.0	0.612714939748	0.61125356699	0.0243028904431	0.600909245916	0.599529202812	0.0177584844818	-0.14595921951	-300.0	0.345710868284	0.345685149476	0.0451102786263	0.339638787631	0.338821118452	0.0201205359559	-0.193257251019	-300.0
FOXO1	-1.8556499325	8.4851884722	6.6295385397	0.392950215593	0.385180190344	0.0840627232444	0.335571366087	0.330859560479	0.0640456338592	-0.0417499654907	-300.0	0.740345969784	0.752816748643	0.0335327832921	0.766474424229	0.773532998026	0.0551413366563	0.0303743266293	-234.826559733	0.518355682579	0.521063773182	0.0379206427468	0.50826459442	0.513412399292	0.0263756853292	-0.0252368751176	-300.0	0.31450244566	0.314614675931	0.0337623018941	0.309741694377	0.309730414946	0.0153195633605	-0.0858697874259	-300.0
NR3C1	-1.8464264783	9.6750664889	7.8286400106	0.383770935853	0.388545580396	0.100599409088	0.293396439571	0.305383565761	0.071407163618	-0.200349779827	-300.0	0.796727333643	0.804175113691	0.0537498533	0.744498671646	0.75611069148	0.0349870818568	-0.266203311834	-300.0	0.461125383272	0.462883126443	0.0299101094328	0.452077595198	0.45583456984	0.0204105722336	-0.0228781954718	-300.0	0.296120789253	0.296072608936	0.0323752427205	0.292156882457	0.291643484169	0.0173802458723	-0.0599359168257	-300.0
IRF1	-1.7207699439	8.2650849333	6.5443149894	0.385007129654	0.371294502101	0.0860819905656	0.460104715039	0.437822601312	0.122761931314	0.0105276961288	-300.0	0.835363405602	0.841985058497	0.0473463765297	0.759254884107	0.769911975459	0.0303478063869	-0.508833528763	-300.0	0.485490177556	0.485327013283	0.0275923595072	0.477694880613	0.479054325459	0.0224115581411	-0.0360854442853	-300.0	0.288359124574	0.274670029369	0.157366009822	0.320470975999	0.344774168415	0.169551131283	0.110734535787	-221.188961348
SOX9	-1.6463590651	7.5684512556	5.9220921905	0.30656691839	0.301714618569	0.0738531926122	0.246669909224	0.239692049028	0.0571919797806	-0.227454330215	-300.0	0.799355868354	0.807715596136	0.0548163917938	0.748319582705	0.760402980955	0.0360883890973	-0.259631900355	-300.0	0.558341629702	0.560750585166	0.0348754434322	0.551318871754	0.554269177679	0.0227764117742	-0.00797755184849	-300.0	0.314751822095	0.315182445611	0.014556319193	0.317795651353	0.318443771986	0.0305904532589	0.00143968313542	-223.265136024
RFX5	-1.5997156902	8.0311831611	6.4314674709	0.478600169879	0.472958454773	0.121856119276	0.38954858557	0.388322609775	0.0813800401192	-0.0553984231477	-300.0	0.814011705964	0.822488998094	0.0635544943559	0.740230688493	0.7571965951	0.0379837257427	-0.349114870136	-300.0	0.421578368118	0.419972110951	0.0204240926709	0.4252642651	0.424514887639	0.0316058784541	0.0595341670463	-300.0	0.306879786576	0.304362554281	0.0212721970929	0.30715356707	0.307175543776	0.0499597517284	0.0417502122071	-300.0
ELF1	-1.3094928196	9.8966036556	8.587110836	0.295796633708	0.287131696029	0.0879837941434	0.378055328677	0.365264163347	0.119372987633	0.0347332743621	-300.0	0.720723300298	0.73885292898	0.0412863918373	0.743914368916	0.752133501111	0.069697056682	0.136171540254	-188.433624679	0.440379841961	0.435780400976	0.0273655392499	0.442421693848	0.438796694578	0.038934273281	0.093957330767	-300.0	0.327797851021	0.32625683911	0.0193686558049	0.328086967278	0.327833389108	0.0468647150056	0.121596709761	-300.0
GATA3	-1.2686822069	5.6419831222	4.3733009153	0.371507659811	0.366779317503	0.104008081812	0.260298711393	0.257285769689	0.0623668593546	-0.168824586631	-300.0	0.756401660129	0.763993846036	0.0582652659827	0.722678256316	0.736314300392	0.0336026951551	-0.00557809316582	-216.970606992	0.411566537685	0.411511926746	0.0266186192465	0.425403243136	0.413411589469	0.0638981994955	0.121173441368	-299.999998987	0.324214977297	0.323446851386	0.0127048225483	0.32588280306	0.325444234032	0.0439259858528	0.0521499712128	-174.918477975
T	-1.1067090704	6.8493768111	5.7426677407	0.297976870086	0.292140088345	0.085094576248	0.219637919797	0.212304668829	0.0612354812035	-0.305611662042	-300.0	0.734881522802	0.750468554475	0.0652114635366	0.72585068107	0.733445305513	0.037662322904	-0.0189057775371	-113.414402469	0.465506177066	0.466677776921	0.0271971101032	0.466582523773	0.467422739754	0.0393171787575	0.15008483495	-93.9443295238	0.277904894607	0.277430466786	0.0200340644458	0.278007237843	0.277911380677	0.0338696523619	0.187494092842	-9.9689684492
TCF7L2	-1.0379809175	8.1292303778	7.0912494603	0.372381873222	0.372813512571	0.0919357502432	0.282418352102	0.288885658438	0.0672296687633	-0.210897565916	-300.0	0.797487976534	0.805418887844	0.052024948348	0.753641488867	0.764202477412	0.0381968848175	-0.189164576871	-300.0	0.389853665958	0.393975991344	0.0257867555398	0.392254110158	0.39410112687	0.0349509100624	0.115507878985	-300.0	0.32034408774	0.320088570483	0.0150070235952	0.320997641896	0.320614478275	0.0332211588774	0.162346720691	-39.6183377477
CREB1	-0.9881595307	9.1957632556	8.2076037249	0.255134927405	0.245513267484	0.0776755034463	0.186930203381	0.175911377609	0.0551717717854	-0.32188993659	-300.0	0.706508663271	0.727882068082	0.0842740695194	0.686609343414	0.696603315916	0.0465238150863	-0.0589908981015	-63.8617926575	0.409368159049	0.408925763314	0.0361987347995	0.409583151657	0.409174658034	0.0508345392197	0.207880500736	-15.7289915953	0.255061572124	0.255313478618	0.0194975843472	0.2582612207	0.255840106046	0.0572882523796	0.167839145446	-8.51958393767
STAT3	-0.8814597069	10.6886940667	9.8072343598	0.304479580992	0.312406539118	0.0831512991345	0.394829591943	0.373179700606	0.131119909488	0.0241942204798	-300.0	0.721192498065	0.735673800617	0.0369349850869	0.751586668778	0.76074331145	0.0623744408172	0.0397464935964	-150.271751748	0.469193362802	0.469548678651	0.0205993165572	0.483657546508	0.470767198323	0.0501007346721	0.0452889695013	-300.0	0.282471759976	0.281911461619	0.0195094149967	0.285738843002	0.282643225074	0.0595995286726	0.0716611188742	-139.721923543
ELK4	-0.795803281	8.3372889	7.541485619	0.425038062903	0.415055828108	0.10620011236	0.34182087372	0.334504560536	0.0763079720011	-0.0100708625222	-300.0	0.703516613428	0.719094022356	0.0440388922218	0.721347751438	0.727213163634	0.0781945463029	0.142469751567	-153.092681824	0.57449985631	0.569856190292	0.026660078597	0.578519335691	0.570133379127	0.0395624026129	0.128701353329	-300.0	0.314165857059	0.314072151697	0.0232894053052	0.317861538768	0.315282151785	0.0597028896932	0.144213177773	-141.394704283
GFI1	-0.5620815095	5.9600981444	5.3980166349	0.484969420844	0.460428778175	0.108017259995	0.400473440091	0.383097733806	0.069679756614	-0.169690860364	-300.0	0.728944856464	0.754689561575	0.0455415238318	0.767331733575	0.780661317884	0.0823544903046	0.0809303549867	-109.616768855	0.393860980601	0.39363701054	0.0194374862317	0.400601703559	0.397008354187	0.0347394429238	0.0399438831696	-300.0	0.344941234475	0.34486877556	0.0232837544795	0.351473172319	0.347795007123	0.063206789661	0.00698331309922	-300.0
