ARID3A_F	ARID3A_R	ATF1_F	ATF1_R	ATF3_F	ATF3_R	BACH1_F	BACH1_R	BHLHE40_F	BHLHE40_R	CCNT2_F	CCNT2_R	CEBPB_F	CEBPB_R	CTCF_F	CTCF_R	CTCFL_F	CTCFL_R	E2F4_F	E2F4_R	E2F6_F	E2F6_R	EFOS_F	EFOS_R	EGATA_F	EGATA_R	EGR1_F	EGR1_R	EJUNB_F	EJUNB_R	EJUND_F	EJUND_R	ELF1_F	ELF1_R	ELK1_F	ELK1_R	ETS1_F	ETS1_R	FOS_F	FOS_R	FOSL1_F	FOSL1_R	GABP_F	GABP_R	GATA1_F	GATA1_R	GATA2_F	GATA2_R	IRF1_F	IRF1_R	JUN_F	JUN_R	JUND_F	JUND_R	MAFF_F	MAFF_R	MAFK_F	MAFK_R	MAX_F	MAX_R	MEF2A_F	MEF2A_R	MYC_F	MYC_R	NFE2_F	NFE2_R	NFYA_F	NFYA_R	NFYB_F	NFYB_R	NR2F2_F	NR2F2_R	NRF1_F	NRF1_R	PU1_F	PU1_R	RAD21_F	RAD21_R	REST_F	REST_R	RFX5_F	RFX5_R	SIX5_F	SIX5_R	SMC3_F	SMC3_R	SP1_F	SP1_R	SP2_F	SP2_R	SRF_F	SRF_R	STAT1_F	STAT1_R	STAT2_F	STAT2_R	STAT5A_F	STAT5A_R	TAL1_F	TAL1_R	TBP_F	TBP_R	THAP1_F	THAP1_R	TR4_F	TR4_R	USF1_F	USF1_R	USF2_F	USF2_R	YY1_F	YY1_R	ZBTB33_F	ZBTB33_R	ZBTB7A_F	ZBTB7A_R	ZNF143_F	ZNF143_R	ZNF263_F	ZNF263_R
-0.00486211258671	-0.0128244903902	-0.0124555064589	-0.0181841053105	-0.0191736173914	-0.0160006381269	-0.00923124928321	-0.0187656946022	-0.0151108425948	-0.0187711787844	-0.0112827055822	-0.00791062422075	-0.00957613000849	-0.00910351000901	-0.00615154942751	-0.0130592158351	-0.00561926892923	-0.0128259253756	-0.0146997228306	-0.0118558770827	-0.018931897538	-0.0149617619953	-0.0134060503404	-0.015933466717	-0.0180272854836	-0.00831768958597	-0.013232254501	-0.014264565235	-0.0128393282296	-0.0123159762998	-0.0126613803392	-0.0155863289168	-0.0136541697749	-0.0133027603497	-0.00787838611588	-0.0197118161153	-0.0131901514808	-0.0162053996015	-0.0137888956405	-0.0146237059085	-0.0152585871856	-0.0157567336113	-0.00855824799945	-0.0142162447319	-0.0161178315532	-0.0176693622147	-0.0202471875768	-0.00740501882589	-0.00373965286788	-0.00974420674226	-0.0199649210273	-0.0155730541697	-0.0134310908472	-0.0148788230427	-0.0148802025598	-0.00896908732688	-0.0109169171672	-0.00836908822565	-0.0148989639246	-0.0177489661599	-0.00189616840746	-0.00383937709355	-0.0143057887893	-0.0180103655492	-0.018280919028	-0.00976746571952	-0.00542203435086	-0.0130330658107	-0.00423095772023	-0.00814964071052	-0.00387056070511	-0.0187155513079	-0.0164577523865	-0.0123629466719	-0.0127654416748	-0.0134404948272	-0.00671162562298	-0.0136062698235	-0.00795133156421	-0.0160308336368	-0.0177881402099	-0.0234497260781	-0.01033947697	-0.0124049771647	-0.00664450975059	-0.0139565107578	-0.0125673742058	-0.0192786310233	-0.0113125438392	-0.0189272713494	-0.00191562188535	-0.00370645271921	-0.00755278326271	-0.0125364506782	-0.010328413559	-0.011426398693	-0.0105328231581	-0.00892564852156	-0.0119516541448	-0.00851346575898	-0.00554985837433	-0.00825773205835	-0.0149042663603	-0.0124510638783	-0.012860184916	0.0249185221349	-0.0189534059471	-0.0134999089518	-0.0219628310304	-0.015711097753	-0.0111288890213	-0.0118791985913	-0.00748853448067	-0.00943706381543	-0.0106503641166	-0.0150305785356	-0.00917017901836	-0.014593467155	-0.0132442288997	-0.0105156192683
-0.00535319696696	-0.00986901868395	-0.0176675233895	-0.0181995281433	-0.0390140196619	-0.0052801562995	-0.0162488165005	-0.0133568870377	-0.0224738858761	-0.0164753409155	-0.00925713563449	-0.00923967429106	-0.0131796527179	-0.00895056005951	-0.009518271077	-0.0141810359924	-0.0116463506085	-0.0155934800541	-0.0119400156314	-0.0153185917918	-0.0187429329735	-0.0136123039165	-0.0204857650391	-0.010794163919	-0.0165586250955	-0.0064022637164	-0.0122821623991	-0.0157777341236	-0.0170998388878	-0.0159108609384	-0.0173426899149	-0.0115171777099	-0.0131704727288	-0.0126371856472	-0.0109412171403	-0.0121449296621	-0.0152283573857	-0.00722849819718	-0.0199706991798	-0.0098747402747	-0.019288583959	-0.0105773943174	-0.00527195555287	-0.0123779316035	-0.00698517071904	-0.0124902211126	-0.0140256054522	-0.0066185491807	-0.00775039113092	-0.0122755400819	-0.0161762529305	-0.0174386428998	-0.0169424575774	-0.0117766821326	-0.012146380959	-0.00762484246898	-0.0146904961432	-0.00863237183786	-0.00915838449873	-0.0125815425678	0.00374613952321	-0.00403037014663	-0.0127305576379	-0.0117521124054	-0.0236849048218	-0.0124219495246	-0.00373608943592	-0.0158655653894	-0.0175757647217	-0.00996680565051	-0.0146567563292	-0.0125420461488	-0.0108754437286	-0.0109584664917	-0.0135384219758	-0.0143801509736	-0.00914042613041	-0.0129470271247	-0.0174225138014	-0.0146142607345	-0.0256393303019	-0.00854952509432	-0.00168013113288	-0.00716048341932	-0.0101482078304	-0.0132801099513	-0.0151132337979	-0.0180872192138	-0.00940666711758	-0.0141499244676	-0.00265260538405	-0.00690827302478	-0.0270037192752	-0.0132627787024	-0.00768908444836	-0.00958292880012	-0.0141498950207	-0.00882951056715	-0.00735743084623	-0.00988144054664	-0.00284408773203	-0.00290747920573	-0.0176607448995	-0.0146632496756	-0.0190007526766	-0.0280070918335	-0.0169265049402	-0.0151548546418	-0.0161178243978	-0.01529999169	-0.0201710578643	-0.00913327107255	-0.00945640059295	-0.0114427780208	-0.00717446104257	-0.0153014453809	-0.00597650263487	-0.0122247708347	-0.0130083722134	-0.0174543618177
-0.00557338554545	-0.0063460621221	-0.0218231977336	-0.0140352499836	-0.0336215085487	-0.00482079529108	-0.0175201448981	-0.0113491610393	-0.0205199752884	-0.0169957609881	-0.0164498091223	-0.0111444577158	-0.0125741905296	-0.0102333465993	-0.00305017355776	-0.0150989873384	-0.00774847482698	-0.0141476211238	-0.0141294777494	-0.0163726264765	-0.0182745402422	-0.0143354694537	-0.0210194774013	-0.0165583768587	-0.0117732138474	-0.00981113863194	-0.0146275847747	-0.0141319995681	-0.0166854359851	-0.0111650750523	-0.0201775285121	-0.0162608957431	-0.00861362123224	-0.0141372478175	-0.0131365227629	-0.0147784343989	-0.00943604362363	-0.0221686006992	-0.0194354767624	-0.0163384056502	-0.0230482519772	-0.017505555244	-0.00561040642561	-0.0133678926438	-0.016027004995	-0.00943845379154	-0.00989664951407	-0.00951718697874	-0.0139354670517	-0.00821872369376	-0.0259578629685	-0.0158255899086	-0.0208761202787	-0.016553889636	-0.0151017124319	-0.00975004535245	-0.0147486419996	-0.0094333126498	-0.0132306849959	-0.0166322544942	-0.00689696939791	-0.0038492123353	-0.0121481293186	-0.0133700572998	-0.0194801481799	-0.0114813527307	-0.00509656261432	-0.0146810240326	-0.0200213873769	-0.000521482331719	-0.020776067292	-0.0107924588098	-0.00664850709561	-0.00971617728869	-0.0110400679227	-0.0119370869438	-0.0024050927132	-0.0148424037841	-0.0144758766812	-0.0122571871834	-0.026098921918	-0.0282581280356	-0.00592386443883	-0.0103838925454	-0.00266605157812	-0.015260989943	-0.0166430469191	-0.0183738884944	-0.00830127509265	-0.0135873736162	-0.0010301060001	-0.0109389197967	-0.00917988513909	-0.0273373408988	-0.0150408032286	-0.0100111561741	-0.0108398116322	-0.00714584932233	-0.0152526622048	-0.0110277075243	-0.0107661459643	0.00189193276283	-0.00762252514369	-0.00985280202867	-0.000323465999225	-0.0265769712293	-0.0148960825729	-0.0163938310824	-0.0192093514327	-0.020417459788	-0.0155952024081	-0.00834930254572	-0.0070132823705	-0.0170642521308	-0.00976003517026	-0.0125632578959	-0.0048126157923	-0.0134480093796	-0.0145683185513	-0.0183915538947
-0.0126038408329	-0.00705384191625	-0.0282981001044	-0.0129112256617	-0.0278534120385	-0.00278464366156	-0.0133485223337	-0.00872415227697	-0.0135694031301	-0.0163648252725	-0.00914653880054	-0.0122339086825	-0.0113278289077	-0.0105425398844	-0.00296073312204	-0.0169815334317	-0.00284714193854	-0.0157103307517	-0.0137639550256	-0.0122090481078	-0.0174825908515	-0.0144068409529	-0.0145177254639	-0.0117120594288	-0.00507500964539	-0.00912180181568	-0.0198973515101	-0.0156044570397	-0.0253038853583	-0.0143275139311	-0.0145756725273	-0.0118409314539	-0.0125346288651	-0.0141219680243	-0.00952995577299	-0.0148002122921	-0.01091872571	-0.0134781911649	-0.0143695427489	-0.0107123463664	-0.0175355826547	-0.0107872209814	-0.0177179882617	-0.0124316023326	-0.0149173911306	-0.00616071418189	-0.00461040300291	-0.010915187545	-0.0139637967926	-0.00510754700199	-0.0107655726113	-0.0167448527214	-0.0155139618583	-0.0113439228553	-0.0107145693531	-0.010068010389	-0.0131481339131	-0.0103149720214	-0.0106128372218	-0.0166973018468	-0.00764216583858	-0.00826684925777	-0.00735710123198	-0.0190932680778	-0.0100042015916	-0.0148620655274	-0.0184063470699	-0.0170886673542	-0.0189624861011	-0.0139006770975	-0.0216952782782	-0.0132691924529	-0.0126845339915	-0.0108230922748	-0.0160882915713	-0.0131267291561	-0.00359306369653	-0.0184083048151	-0.00738880897606	-0.016534645966	-0.0231222703282	-0.00926856688799	-0.0110826307668	-0.0122104839406	-0.00310652103644	-0.0181420564705	-0.00781310333541	-0.014640036824	-0.0151997529694	-0.0121621090532	-0.00565481380273	-0.0138404874655	-0.0016164745015	-0.0200059232508	-0.0131810307592	-0.00996744796484	-0.00601304411143	-0.00721151140738	-0.0113824679055	-0.0105440524121	-0.00621194941333	0.00186206577607	-0.0110786963522	-0.0242213150993	-0.0352887494796	-0.00454817652873	-0.0148684451868	-0.01829738877	-0.0119797311146	-0.0212064731347	-0.013616515744	-0.0103631347052	0.00399405217581	-0.0148177420312	-0.010116815477	-0.0129118518301	-0.0124425366205	-0.0142638063671	-0.0139170193934	-0.0141522692368
-0.00290258843907	-0.00306985503816	-0.0185351683044	-0.0123193028565	-0.0132074675083	0.000108551090974	-0.0314879287701	-0.0138329736675	-0.00138317416758	-0.0192441845476	-0.0102426267054	-0.00927205253892	-0.00544224732729	-0.00924942369852	-0.0136503911541	-0.0162248996588	-0.0169454853002	-0.0188701059107	-0.00561367971961	-0.0153703262969	-0.00485616531791	-0.00962209879849	-0.0325953174016	-0.0112176278928	-0.00674494823462	-0.00950271898816	-0.0151185068193	-0.0159364320704	-0.0173051233177	-0.0124919023296	-0.0318040006681	-0.0115741922135	-0.00894989587303	-0.0119440476935	0.00368452188836	-0.0121376239574	-0.0225048782023	-0.0117420769922	-0.0331748718325	-0.0110224921786	-0.0334269994802	-0.0118306058548	-0.0216173141716	-0.0142016529654	-0.0120728959585	-0.014385716621	-0.00572519643519	-0.0103195576832	-0.00459379521756	-0.00889038296401	-0.00397018708022	-0.00789486040394	-0.0316182480347	-0.0118384398337	-0.00725979902364	-0.00809481224136	-0.00944259146229	-0.00862404581639	-0.0112661502431	-0.0133080653457	-0.00656195990334	-0.0115116596406	-0.0117774949336	-0.0136954218574	-0.0067262506324	-0.0105959228395	-0.0117826713834	-0.012792826185	-0.0114306660283	-0.015481826847	-0.0264886176741	-0.0119808301473	-0.0180076865223	-0.0133992440645	-0.0138986288379	-0.0111041949209	-0.014820631589	-0.0170145669919	-0.00665144409359	-0.0184365359203	-0.0107440264144	-0.0136707910859	-0.000965703899181	-0.018458719059	-0.013898336766	-0.0176057453714	-0.0124806374765	-0.0153713134373	-0.0174956785072	-0.0131471150561	-0.0083343452102	-0.0115264010306	0.0062953462808	0.00428159193184	-0.014749940486	-0.00679040735678	-0.0059307272382	-0.0136432736547	-0.0120083833366	-0.00812826486428	-0.025668907811	-0.0185488223351	-0.00448853240409	-0.0196420957264	-0.0174855729585	-0.0341489421403	-0.00631414839396	-0.0170409501763	-0.00339023210883	-0.0155975684236	-0.0118423700542	-0.0159554073081	-0.0132662003646	-0.0141818270628	-0.00370175927249	-0.0180667086419	-0.0040385829615	-0.017987174355	-0.0140629921518	-0.0166174591806
0.00290283611303	-0.0141928411929	0.00541993219757	-0.0141798186383	0.0193477035899	-0.0111033601881	-0.0211176749277	-0.0115922694996	0.00648498464691	-0.017228042609	-0.0157001007178	-0.00945867162019	-0.00393480009738	-0.00892909429039	-0.0121156296571	-0.0134067777819	-0.0143778464417	-0.0167174545139	-0.0134115952976	-0.0128944494558	-0.0112418968173	-0.0122503638923	-0.0191190804148	-0.0121291859022	-0.0177095373715	-0.0125716824382	-0.0140008820287	-0.0142005023367	-0.0220264025223	-0.0119788156522	-0.0194645304902	-0.0115546293383	-0.00205789301189	-0.0129673397824	-0.000817343481104	-0.0105814084028	-0.0136566967126	-0.0165962558709	-0.0189647621055	-0.0151157865649	-0.0193428833881	-0.0125623548777	-0.0215006553666	-0.0124171230429	-0.00940174275025	-0.00562782973809	-0.0196030281612	-0.0114248408019	-0.00729201189372	-0.00759209402198	-0.03379134887	-0.0143849377024	-0.0180533628314	-0.0125867558353	0.000406415057669	-0.0091294717767	-0.00675566642249	-0.00919281359142	-0.0172692849167	-0.0144706872822	-0.0126855312679	-0.00139686253015	-0.0182609420178	-0.0186101076271	-0.00837657373907	-0.0115678275022	-0.0119160399897	-0.0134518146157	-0.00796771673034	-0.0165081553098	-0.00863510098015	-0.0157881587329	-0.0215906787579	-0.0154841244566	-0.00315427603796	-0.01082264745	-0.0124390983969	-0.0144251611955	-0.0190945340715	-0.0159126527386	-0.0058903227983	-0.0302441303919	0.00279429741945	-0.00909222048999	-0.0128430774989	-0.0141335342275	-0.00279722684204	-0.0172649632697	-0.0179423372432	-0.0163111316199	-0.0155325544922	-0.0128590346773	-0.00233576737221	-0.0057832084875	0.00472162281459	-0.00473193721947	-0.00248989736006	-0.00922297696547	-0.0161757075276	-0.00771072383262	-0.0205435388297	-0.00847008442498	-0.0067217774196	-0.0173672557949	-0.00284596063106	0.0214639381296	0.00172376674277	-0.0157236546805	0.0066826524434	-0.0141301535566	-0.0141097068592	-0.0117460352121	-0.00808676732525	-0.0174450807737	-0.0086329656397	-0.0157157759615	-0.00685859633885	-0.0117177806903	-0.0148385391643	-0.0143355898779
-0.00880746943916	-0.00658882463915	-0.0111140177103	-0.0158901482507	-0.0366041750282	-0.00242629263238	-0.0116862791645	-0.0166960109853	-0.0187208646471	-0.0152806172796	-0.0113876688807	-0.00854347407701	-0.00112727317555	-0.0106105683838	-0.0227914386666	-0.0140948934913	-0.0256142626015	-0.0178519168355	-0.0115875787924	-0.0150099789132	-0.011700765487	-0.0116715537447	-0.010863339498	-0.0124092345523	-0.00352570425043	-0.0118647800279	-0.0101335954804	-0.0141265170771	-0.0128393314607	-0.0117482507502	-0.0104633421332	-0.0127730253801	-0.0126330877974	-0.0141286439416	-0.0246314316271	-0.0144956883521	-0.00836687511405	-0.0126306951523	-0.00954731743747	-0.0139678613525	-0.0102914064023	-0.0122570429193	-0.0258916560759	-0.0127231179234	-0.00194871120846	-0.011565669271	-0.00320716119902	-0.0125424782891	-0.0118626033131	-0.0089513798904	-0.00789339827602	-0.0121882147775	-0.0111451758447	-0.0127746177311	0.0043677631097	-0.0095450270567	0.00256048708686	-0.00944792537241	-0.0162149860598	-0.015659147705	-0.0152495121026	-0.00322317787305	-0.0193311112151	-0.0134034330199	0.00382186809206	-0.0137348751518	-0.0288316158568	-0.0187362370786	-0.00307226956852	-0.0144326899335	-0.00938018688862	-0.0161070056478	-0.0206486914202	-0.0135550423094	-0.00678689330977	-0.0116523879255	-0.0240345766515	-0.0132938189084	-0.0191529952232	-0.0136322620861	-0.000291503520344	-0.0146807912743	-0.0168068130755	-0.0168316346615	-0.0248492805764	-0.0142573926275	-0.00710447974832	-0.0108842804407	-0.020408918762	-0.0110385431421	-0.0100256950717	-0.00244228040251	-0.00393395148709	-0.00687358968279	-0.0105198435566	-0.00500303903192	-0.00398384831338	-0.0102117173116	-0.0102207139949	-0.0108338324546	-0.0252588197206	-0.00672832762262	-0.0183279586833	-0.0171430560477	-0.00583243150987	-0.00789404662315	-0.0153935847934	-0.0156372704454	-0.0173874878405	-0.018055868407	-0.0185381220407	-0.013187260654	-0.0178469117235	-0.018644760367	-0.0184916853713	-0.00945070380876	-0.017629878001	-0.0108635872915	-0.014853306499	-0.0125689732492
-0.0115857126633	-0.0036522924838	-0.028908306888	-0.0157133733623	-0.0376831786711	0.0087228112624	0.00522800934804	-0.00935206196868	-0.0430633076821	-0.0209051179632	-0.0141378502153	-0.00981721507997	-0.000910941447799	-0.010123389702	-0.0216396744378	-0.0140593380911	-0.0237514406073	-0.0169968918945	-0.0227790583998	-0.0144393773676	-0.016539476709	-0.0161308829189	-0.00692633000487	-0.0111793353797	-0.00310566509838	-0.00943457719679	-0.0102256008707	-0.0156137218451	-0.00775881488589	-0.0121251484613	-0.00723119272215	-0.0124765144475	-0.0255959829493	-0.0147490222452	-0.0288166136544	-0.0185551011359	-0.021112236889	-0.00829854313029	-0.00435938905519	-0.0105065142801	-0.00561367835543	-0.0110881030787	-0.0168415160734	-0.0151371677517	-0.0196570618391	-0.00996062486476	-0.00568995560533	-0.00814195653664	-0.00283404535	-0.00659033217172	0.00667683734623	-0.00788568880503	-0.00697494331908	-0.0128941774454	-0.0113974984501	-0.0102725294037	-0.00567264119372	-0.0089329154663	-0.0276135408751	-0.0133400754185	-0.0138703904356	-0.00358497894348	-0.0333741400034	-0.00817257749727	-0.0103875655233	-0.0140671324961	-0.00697072813403	-0.0155061639186	0.00205313621381	-0.0113296708184	-0.0173214885305	-0.0148848234887	-0.0111706025908	-0.0132718397107	-0.0161841789115	-0.0122471106038	-0.0206436841158	-0.013130118249	-0.0155815728514	-0.0219985368845	-0.0148212491144	-0.00108085261202	-0.0191102729325	-0.011977003803	-0.0221412456243	-0.0138297669092	-0.0144049483546	-0.0161127732227	-0.00550556718472	-0.00686092517239	-0.00999371089723	-0.00734158558855	-0.0057932162684	-0.016545984679	-0.0171110444255	-0.00969077276434	-0.00464315784646	-0.00649037224923	-0.0145969796612	-0.0108587615347	-0.0132304739883	-0.0118712815597	-0.0166320322943	-0.0103452701844	-0.0190573220502	-0.00652695418242	-0.0341609604431	-0.0151000173281	-0.0351074544748	-0.0182325057756	-0.00961984201792	-0.0111605298131	-0.0201858388403	-0.0147848005366	-0.0231430089126	-0.0183832663759	-0.0231727232246	-0.0102808292501	-0.0126549275463	-0.0160617782427
-0.0158615255355	-0.0138156577076	-0.0184849327609	-0.0142730193867	-0.0277973028203	0.00501499851793	-0.00420464907866	-0.0163940545223	-0.0325601966369	-0.017041294471	-0.0132182755489	-0.013095456393	-0.00915392248116	-0.0102593623773	-0.0194680370504	-0.0134413797952	-0.0216728290193	-0.0131272833477	-0.0139283470627	-0.00640930971307	-0.0124244756501	-0.0139722340947	-0.0092954996822	-0.0129324162914	-0.0127600085543	-0.0090400122955	-0.0134527331945	-0.0126008165748	-0.00491480882816	-0.0144826674793	-0.011332562493	-0.0124619689687	-0.0219734936705	-0.0143040918397	-0.0277050654195	-0.0174290130017	-0.0253372396099	-0.0189718764191	-0.00861399387476	-0.0127525786387	-0.00999922156755	-0.0119603589878	-0.00807378132271	-0.0110459016828	-0.00900181536473	-0.00879392991926	-0.0158856430823	-0.0047454302305	-0.0131201660799	-0.00500828949238	-0.0174857842083	-0.012916623972	-0.0105539829746	-0.0131402672005	-0.0127686186082	-0.0113833429561	-0.00593104567739	-0.00945874546516	-0.0202011911858	-0.0164034391634	-0.0144442670964	-0.00786960795503	-0.0250410982417	-0.0175304510713	-0.0135455250959	-0.0143268911525	0.000432032799942	-0.0141929237403	-0.0179068319231	-0.0159277268955	-0.00962120448228	-0.0135337600349	-0.00231289856186	-0.0158418081505	-0.0138512768453	-0.0113862456495	-0.0213275194337	-0.0121724486449	-0.0260187426189	-0.0167035924844	-0.0293366131618	0.00734291591284	-0.0275066117178	-0.0217556363097	-0.0210372335536	-0.0127076388241	-0.0153539961818	-0.0179613796506	-0.00426485544724	-0.0100626028595	-0.0156444393325	-0.00689539520451	-0.0119193435137	-0.011542890871	-0.00976881687667	-0.00605984725986	-0.010051377542	-0.0096352465309	-0.0113486624381	-0.0111723261741	-0.0109040242349	-0.00659610770397	-0.0187795728327	-0.0234969264646	0.00303391908783	-0.00558355716998	-0.0381238158902	-0.0147489953659	-0.0385666835848	-0.0164874412149	-0.0156608402371	-0.0155732521396	-0.00949868445342	-0.0154090078665	-0.0199626541116	-0.017117777391	-0.0257148938378	-0.0178126017829	-0.0131800986535	-0.0140841570444
-0.0139071670564	-0.00642610977243	-0.00647999940862	-0.014717791664	-0.0121438498813	0.0130240735967	0.0022935424958	-0.0121247651099	-0.0175776472403	-0.0169098735412	-0.0131891443546	-0.0110395706792	-0.0136814112602	-0.0107489026551	-0.023782193334	-0.0140384031103	-0.0298760024897	-0.0157184481115	-0.011244709848	-0.0118165985741	-0.00314945784827	-0.0118784677073	-0.00231361894709	-0.0121413073306	-0.0147793326613	-0.0116958416648	-0.0177419551884	-0.0150481887443	-0.00534252842814	-0.0145020666172	-2.18083457249e-05	-0.0111022752818	-0.0238843288117	-0.011993557551	-0.0257710152146	-0.00947086643171	-0.0181300914233	-0.0180138048587	-0.000700457802476	-0.0139236593638	-0.000299896796184	-0.0142332988433	-0.000809314990438	-0.0135076958489	-0.00489065490017	-0.0103827257612	-0.0150247829224	-0.00815739989308	-0.00941073780532	-0.00675280638738	-0.00934207337538	-0.0138016552612	0.000747036788134	-0.0135519395073	-0.00988388091792	-0.0133215553887	-0.00988745213306	-0.0130241464639	-0.0214114587765	-0.0169380639075	-0.014448319399	-0.00249956957472	-0.016447606593	-0.0151105865403	-0.020651745885	-0.012062129583	-0.0204806568569	-0.0176805799734	-0.0111914583925	-0.0188395837431	-0.00697102744248	-0.0153884108312	-0.00733837457061	-0.0170106799927	-0.01607039412	-0.0125313616214	-0.0249983014144	-0.0138185037088	-0.0222587186233	-0.0111096679823	-0.0113021851518	-0.023078579016	-0.00453939321625	-0.0180601325648	-0.0258221489634	-0.0142906627872	-0.0150406678719	-0.0161309488445	-0.0277180323674	-0.0122343659124	-0.0125446554959	-0.00699123843763	-0.0286742789433	-0.0042250468887	-0.00869883676424	-0.00259819410793	-0.0126535727115	-0.00899173078209	-0.0125310984773	-0.00825804909147	-0.00904633244992	-0.00127385145572	-0.0115914469092	0.00218362291707	-0.00739717527438	-0.0116562945855	-0.0196745902179	-0.014553668641	-0.0247501019068	-0.0143234045866	-0.0155778841652	-0.0156020481791	-0.0236212441618	-0.00990162675572	-0.0250043939345	-0.00982192298143	-0.0106622822148	-0.0127345915221	-0.0168484739292	-0.0105574420406
