PWM_AUPR_ALL	TC_AUPR_ALL	FOS_AUPR_ALL	HINT_AUPR_ALL	HINT_BC_AUPR_ALL	HINT_BCN_AUPR_ALL
0.000436040376103	0.138637744944	0.00281745197288	0.590793150184	0.604290290349	0.605490456586
0.010674164254	0.238718629687	0.0131941309549	0.63150125932	0.747143075597	0.719013394398
0.0070208196701	0.322533928534	0.0130085637084	0.669852863959	0.744263719779	0.719261890215
4.10256656588e-05	0.0340967669676	5.37782387761e-05	0.0454107606582	0.0783541615702	0.0595497531294
0.0155297391805	0.433241673787	0.0519755645681	0.754715714851	0.768307488938	0.764900384926
0.512714700037	0.403361003605	0.359554109264	0.676286803951	0.692889013376	0.687582463478
0.0237092330895	0.535948433508	0.0188559429126	0.816244202877	0.850572252873	0.835979981784
0.104235475872	0.641981781531	0.0365701778887	0.852566408661	0.896311807354	0.877554813607
0.0913899402445	0.140411539111	0.0430794521569	0.324808375231	0.338556227581	0.334813382752
0.0453094343082	0.565793713264	0.0643988222536	0.867149090035	0.886855893383	0.880085967223
0.183123132606	0.0784408568019	0.0359057755345	0.178100498658	0.199474071005	0.192282621681
0.18235742428	0.0776241159498	0.0479513889972	0.158283405332	0.181155677127	0.173403966488
0.00242727744872	0.437031536057	0.0145040747816	0.715518699184	0.757732759888	0.734881604493
0.00275095532242	0.383145247125	0.00596332001142	0.703022291549	0.777115844127	0.735693945205
0.235659962508	0.366108760776	0.164989412684	0.532109614285	0.746607749495	0.69452703008
0.00171766661692	0.0824363067233	0.00499563653295	0.53276144686	0.550052443907	0.547509087141
0.487591578263	0.38625566735	0.354071198603	0.675201862456	0.692701217062	0.687162085495
0.552633559967	0.0329851620909	0.0177718624095	0.167363228517	0.189941091305	0.183538561579
0.00674910462446	0.25229541053	0.021170365994	0.740403672492	0.758803396721	0.752268454216
0.0107270814883	0.18064208454	0.0374813583672	0.581578559989	0.672700714341	0.644586351799
0.00161440788809	0.0160089416634	0.0017833702481	0.0856636781705	0.128821050935	0.115317443936
0.0423673199258	0.248140895784	0.0105536751779	0.56820641436	0.582630382017	0.577601522598
0.00282906191308	0.529304111123	0.0117154155314	0.751665180596	0.79705802576	0.782687518322
0.123845214135	0.415459672058	0.0705384258395	0.616452453687	0.646148081845	0.635357974244
0.0409949496157	0.34922652001	0.0334892588531	0.551285237299	0.5861007012	0.573947875686
0.0534298658599	0.599438691016	0.013926667036	0.811231730592	0.838689074614	0.827336632223
