"","FACTOR","EXPR_FOLDCHANGE","EXPR_H1hesc","EXPR_K562","Boyle_flr_ks_stat","Boyle_fos_ks_stat","Boyle_tc_ks_stat","Centipede_90_flr_ks_stat","Centipede_90_fos_ks_stat","Centipede_90_tc_ks_stat","Cuellar_90_flr_ks_stat","Cuellar_90_fos_ks_stat","Cuellar_90_tc_ks_stat","Dnase2Tf_flr_ks_stat","Dnase2Tf_fos_ks_stat","Dnase2Tf_tc_ks_stat","FLR_90_flr_ks_stat","FLR_90_fos_ks_stat","FLR_90_tc_ks_stat","FS_flr_ks_stat","FS_fos_ks_stat","FS_tc_ks_stat","HINTBCN_flr_ks_stat","HINTBCN_fos_ks_stat","HINTBCN_tc_ks_stat","HINTBC_flr_ks_stat","HINTBC_fos_ks_stat","HINTBC_tc_ks_stat","HINT_flr_ks_stat","HINT_fos_ks_stat","HINT_tc_ks_stat","Neph_flr_ks_stat","Neph_fos_ks_stat","Neph_tc_ks_stat","PIQ_90_flr_ks_stat","PIQ_90_fos_ks_stat","PIQ_90_tc_ks_stat","PWM_flr_ks_stat","PWM_fos_ks_stat","PWM_tc_ks_stat","TC_flr_ks_stat","TC_fos_ks_stat","TC_tc_ks_stat","Wellington_flr_ks_stat","Wellington_fos_ks_stat","Wellington_tc_ks_stat"
"23","NKX3-1",-0.5837772725,5.3454291667,4.7616518942,0.0178477337657,-0.031647862642,0.225782770886,0.0120028663961,-0.311430189921,-0.543813027582,-0.0636416944697,0.00185533515732,0.190840827245,-0.0524163828175,-0.0518326317878,0.287136483427,-0.0203199189398,-0.0599184933358,0.0238690380727,0.065869995563,0.0462824239784,0.387838441793,-0.00699060371538,-0.0531989481115,0.223023606519,-0.190022457055,-0.0563393534851,-0.0563393534851,-0.0494824763334,-0.230090635215,-0.237063151677,-0.0382619694825,-0.246579155582,-0.186568537094,-0.0546623743653,-0.238048461035,-0.208720611514,0.0257767834949,-0.259914316388,-0.165997738092,0.076039448994,-0.0392857142857,-0.0890420666148,0.0129869027566,-0.155966376001,-0.147769411048
"24","INSM1",-0.5296980979,6.7003285,6.1706304021,0.100252521147,0.0789967834604,0.108483373531,0.0276923330394,0.139293581356,-0.469102348832,-0.0212040762538,0.0638453544414,-0.434882273278,0.052186718497,0.0630618065384,-0.419915360067,0.0577395014716,0.0454135850903,-0.35438363637,0.0425745629223,0.00911542374143,-0.244103422448,0.0422708686355,0.0608171512779,-0.383938965087,-0.0625038397181,0.0514392915906,0.0514392915906,0.0531382481926,0.106467976373,-0.434854706271,0.0547441182171,0.10309349412,-0.428704378173,0.0661263932637,0.131395621122,-0.42786422335,0.0351688604792,-0.0578605069111,-0.0441172789522,0.0521033891951,0.0082993785241,-0.438552560593,0.0210065595962,0.120110540448,-0.444606625414
"25","ERG",-0.4811139683,3.9203937778,3.4392798095,-0.00193980249816,0.0671575039272,-0.374719167214,0.0142768433006,0.0380830333504,-0.24486255274,-0.00361601516553,0.0540498656657,0.210981804058,0.0271413997446,0.0208813195318,-0.141562496488,0.0414348214289,-0.00113767468959,-0.255258404678,0.0423092710425,0.0039158044551,0.0359727565505,0.0271216471752,0.0124102394869,-0.141086698936,-0.0599593219345,0.00486679067398,0.00486679067398,0.0297249629819,-0.0294953445839,0.377366945671,0.0335369431205,-0.0380685656731,0.325608773701,0.0529463810073,-0.0597807320442,0.342208466326,0.0540050248188,-0.15817908216,0.0368529085092,0.026551029212,0.0310676676576,0.252208078276,0.00804725472547,0.00818948940377,0.298459649753
"26","STAT1",-0.4733130873,8.6787737222,8.2054606349,-0.0347116001779,0.0323415454264,0.117210990607,-0.0157199022746,0.0515570555194,-0.440526271215,-0.0241050529615,0.00491042449529,-0.351350989993,-0.0155353651082,0.0102905229743,-0.262569852502,0.00569616685078,0.00484393251591,-0.32892445245,0.0183288440133,0.00324312955504,-0.179080166913,-0.0183744894952,0.00590643468625,-0.346827935591,-0.127162978507,0.00305208505324,0.00305208505324,-0.0124550157919,-0.0306912721485,-0.355766892642,-0.00784099770194,-0.0425744183597,-0.371324536437,0.0129380109888,-0.0211621233859,-0.367353792911,0.00657453936348,-0.200733193825,-0.124838062999,0.0116587266707,-0.00936162462435,-0.369401319362,-0.0226027651232,0.0147721552923,-0.364978669645
"27","USF1",-0.4081315146,7.4895785833,7.0814470688,0.00883170361999,0.0392710036397,-0.364106529667,0.00388688737905,0.0407772163383,0.0498039141432,-0.031267002275,0.0409146216354,0.20483530973,0.0682142720019,-0.020786442897,0.209194070899,0.0806541198653,-0.0388082377303,0.38362608541,0.0139890492414,0.00911013284641,-0.0048865632212,0.0492174858951,-0.0299241657117,-0.364021051626,0.020264595916,-0.035836646146,-0.035836646146,0.0719641530297,0.00902790585679,-0.0497324379988,0.0767050929483,-0.000850781352424,0.0837390539884,0.0427584403679,0.0494659316048,0.0306341256575,-0.00955404525746,-0.054623464967,0.0945796405171,-0.0144618985863,-0.10816659256,-0.0262454479787,-0.00156176908418,0.0496553896194,0.181792860839
"28","EGR1",-0.3866965344,8.4510034444,8.0643069101,0.0901323383596,0.031952134234,-0.0672149521277,0.0214659740624,0.142366765365,-0.37486598935,0.014235308372,0.00216188725642,-0.380489596916,0.0775567534958,0.00957877411971,-0.427152351586,0.0820805406998,-0.0351540503849,-0.303889504717,0.0458836047952,0.0197152103398,-0.126052088966,0.0760567336131,-0.00345799890262,-0.0946552042005,0.0192616768005,-0.018366184989,-0.018366184989,0.0785932306132,0.149468282552,-0.380539614204,0.0798371753488,0.14857242487,-0.403192688739,0.0893965064115,0.102828212291,-0.387669548353,0.0324476123508,0.085049436254,0.620982469345,0.0286322020785,-0.0418795237461,-0.307134866625,0.0140883184301,0.151034910307,-0.420187578955
"29","CTCF",-0.3682107037,8.924475,8.5562642963,0.089608795265,0.0716336915991,-0.413629602221,0.0158756471814,0.114657227412,-0.306454577311,0.0124164748626,0.052147289998,-0.341448881161,0.0737158423577,0.027003626566,-0.291839279603,0.0790463071671,0.0110508032838,-0.254621880367,0.0414408176646,0.0140309597612,-0.131113315976,0.0584853488262,0.0199296202744,-0.39429638969,0.0461908992316,0.0134113866156,0.0134113866156,0.0747350400276,0.080872265777,-0.290852811336,0.076159810765,0.0745891254302,-0.324716106418,0.0821428911464,0.0488525335151,-0.313986926341,0.0429548577594,-0.115343699533,0.205142337193,0.0419869893692,0.0589574639432,-0.232045222691,0.00413048859462,0.105842718359,-0.331126044462
"30","MAFB",-0.3502367328,5.0393535,4.6891167672,0.00225107907754,-0.088454155026,0.378372990063,-0.00721768195667,0.0684668831231,-0.307488955368,-0.0247437782649,-0.153970716392,-0.0574805533484,0.0775055813679,-0.138215759295,-0.224782948389,0.0881488275805,-0.180994980633,-0.203228406688,-0.0118879642595,0.00569791535379,0.0728940906565,0.0295522304149,-0.153173448535,-0.0853870098256,-0.0306873208028,-0.168072156548,-0.168072156548,0.079704015446,0.104467996479,-0.0570847525544,0.0827654283277,0.104234877296,-0.103670910387,0.0727524510161,-0.0444115470022,-0.0959974384984,0.0277777777778,0.0931363522223,0.541714383068,-0.0374716834461,-0.161649470162,-0.21266182624,-0.018596967328,0.106373077137,-0.104221138483
"31","E2F1",-0.3329436296,7.4081001111,7.0751564815,0.0239665571276,0.00991932025667,0.295977787046,0.00324741351729,0.123771734243,-0.363899618678,-0.00428053527574,-0.0158993323061,-0.317946984401,0.101836274817,-0.00995313214251,-0.366106004021,0.0972198146758,-0.0415481787607,-0.31628385071,-0.00387712209013,0.131845786261,0.115451972635,0.0973558685118,-0.0212246885908,0.359194069964,0.0759828488696,-0.032131173644,-0.032131173644,0.100673578026,0.147416638786,-0.164432252846,0.099355103048,0.14814236651,-0.248090273453,0.0829509324192,0.0909129620167,-0.215119785818,0.0264453594098,0.057176363968,0.524109742488,-0.0160626068031,-0.0511578823943,-0.1735253731,-0.00947695056571,0.144186683369,-0.279067258416
"32","STAT4",-0.3171848783,2.786079,2.4688941217,0.0307086922035,0.0500881170557,0.343974641556,-0.0223979407391,-0.0292290974527,-0.44526945548,-0.0661293077489,0.0471590461624,-0.230528300796,0.0454354572371,0.00367934964907,-0.255975566427,0.064541665799,-0.00617488590498,-0.31709771514,-0.00216546784366,0.00288933894972,-0.183674828943,0.0283497905937,-0.00215331548509,0.334358494464,0.0462533929508,-0.00319823081648,-0.00319823081648,0.0484621644791,-0.0715650919504,-0.357125304908,0.0536069005794,-0.0836349036327,-0.370115441658,0.0573855805293,-0.0723062381853,-0.367162593788,-0.0105268369974,-0.187834950326,-0.129915857007,0.0351252693461,-0.0176821983274,-0.0391037861386,-0.0231102353599,-0.01726686959,-0.366391015194
"33","MAFK",-0.2998918466,6.9924892222,6.6925973757,-0.0216324197245,-0.0401838389968,-0.452204352927,-0.00282460795659,-0.000129273489732,-0.185965993118,0.0211418153905,-0.0806077316945,-0.00701444461506,0.0666335065941,-0.0604066644764,0.045978351415,0.0735821397586,-0.086253694772,-0.188649551526,-0.0115493615474,0.00325813018372,0.253486595299,-0.00773944823283,-0.0689374221422,-0.449903789238,0.0673442401132,-0.0799577635303,-0.0799577635303,0.0678950570475,-0.0241328336198,-0.0529254839199,0.0698940879916,-0.0381738018444,-0.0911474254046,0.0327987037785,-0.0667405090783,-0.0823069277038,0.0481085662002,-0.11916844932,0.0555901255987,-0.0225684246219,-0.0289819376026,0.111212734933,0.00482735255905,0.0313263561817,0.0617168819801
"34","NFYA",-0.2796747566,8.3467323333,8.0670575767,0.0221262382374,-0.0895486610082,0.185790829225,-0.0272075042964,0.00363922900189,0.121120134854,-0.0921020148873,-0.121420203015,-0.233796183175,0.0352309758529,-0.144215190105,-0.412766510793,0.0475651000864,-0.168680961643,-0.372335488047,0.00984790707443,0.00368895525971,-0.192722111865,-0.0169369688693,-0.151799474903,0.188176431797,0.0882050827399,-0.157028142534,-0.157028142534,0.0376531505712,0.0504104693885,-0.118376010018,0.0419882437608,0.0454312088777,-0.139429232886,0.0315223133307,-0.0672413793103,-0.128627057796,-0.00520571759706,0.00728668083291,-0.120989370771,-0.0477168497781,-0.249312131499,0.111285582207,-0.0280744806399,0.0634090425745,-0.140695347848
"35","GABPA",-0.261986254,8.661842,8.399855746,0.0394779843238,-0.0368900267514,0.210560300904,0.00199891962432,0.129467932652,0.171079132649,0.00771931264648,-0.0552742093076,0.227650394432,0.0807425178093,-0.077190975067,0.0912011326046,0.0768773355408,-0.107391033822,0.170745240897,0.00993355489665,0.0520319588918,0.185281974969,0.0733428601638,-0.0871851996659,0.448150975598,0.122642810315,-0.0996213033624,-0.0996213033624,0.0802171505989,0.103665741883,0.275769373298,0.0788622704091,0.102409432153,0.317896318688,0.0966599578454,0.0652937315392,0.33476636225,0.0350174216028,-0.0287542839727,0.119597898146,-0.00622735698937,-0.0217384292856,0.00692593084395,-0.011843098334,0.103549424744,0.290951826504
"36","YY1",-0.2405441005,9.2155432222,8.9749991217,0.0138579893897,0.0686200596302,-0.0561829378481,-0.0132008864152,0.0399647681295,-0.394676072812,-0.0215094339623,0.0602562883464,-0.372492637257,0.0756881392825,0.0234167108817,-0.296537947589,0.0824394308704,0.0235073397568,-0.317884185613,-0.00759672412558,0.0103398212445,-0.115564534903,0.0373818163529,0.0241698008497,-0.0449716824284,0.0573632759479,0.0221174505172,0.0221174505172,0.0769256404106,0.0154796886646,-0.342202915982,0.0781087357698,-0.00122767695483,-0.35058408846,0.0467819825862,0.0280821917808,-0.347343979692,0.0683904457107,-0.0702123858247,0.0366416966879,0.0087360773359,-0.0223300532635,-0.28189374295,-0.0169942316948,0.065351568408,-0.352778020878
"37","KLF4",-0.2292124233,4.3891591111,4.1599466878,0.0710488769551,0.00733192276282,-0.0464062988864,0.000107844841541,0.125116836293,-0.357949142398,0.00498127971438,-0.016617004783,-0.367089040781,0.0907062681439,-0.00420886861988,-0.362683294822,0.0904247240412,-0.0548801760132,-0.293315510887,0.0401175135592,0.0185072991288,-0.0266267859018,0.0809115284151,-0.0155720881174,-0.0242437655646,0.110429900078,-0.0324191705105,-0.0324191705105,0.0904931087128,0.0914645482168,-0.245700419596,0.0904066380964,0.0886446353947,-0.305766090398,0.0904916604122,0.0767503516935,-0.276398450769,0.068236898218,0.0905569193748,0.250288854005,0.0252679405891,-0.122208527899,-0.147329525791,0.0104174059667,0.10560202458,-0.34323183091
"38","SRF",-0.2054848492,8.3513662778,8.1458814286,0.00333149064558,0.0497814114289,-0.421647989537,-0.0190867464464,-0.0396730202731,-0.473679121553,-0.00186832126853,0.0269125937137,-0.353980389801,0.0716252831154,0.00378568382288,-0.25110328345,0.0808707084696,-0.0145969095107,-0.326988058181,-0.0117466585439,0.0034573618309,-0.2000149157,0.0528236855573,-0.00343971822067,-0.424292794017,0.0949842727378,-0.00658212102967,-0.00658212102967,0.0736612256158,-0.0382586247148,-0.405322608348,0.0759707675676,-0.0508552760662,-0.399324346549,0.0693253315784,-0.105613577023,-0.398355582756,0.0174969059406,-0.157980168714,-0.125503767137,0.0161543755536,0.0202519379845,-0.287283591651,-0.0146603797658,0.0136746248694,-0.404286917741
"39","STAT3",-0.2035441402,10.0107785,9.8072343598,-0.0644219507266,-0.125233424217,-0.0329753710109,-0.0189967920742,-0.125438147832,-0.215898803532,-0.0383141892413,-0.111186624572,0.329536200495,-0.0544036331955,-0.244509373851,0.193793013905,-0.0431676210619,-0.279092090866,-0.173520652371,-0.056812570753,0.00556971242434,0.176005974979,-0.122755500573,-0.251867146199,-0.374587922559,0.0263722932934,-0.265177339515,-0.265177339515,-0.0533389022683,-0.134458526379,0.265416065153,-0.0519295838515,-0.143669871525,0.259524630067,-0.0902083865208,-0.245354239257,0.271795048591,-0.0565668202765,-0.097972465709,0.452994272443,-0.102183223147,-0.087037037037,0.33850900605,-0.0149333148002,-0.0912331268382,0.239515928466
"40","HOXA5",-0.2024921587,3.5496091111,3.3471169524,0.0419342905684,0.064263693105,-0.0246587031756,0.0187494568451,0.0811582242178,0.21767260186,0.00966090638325,0.0628810372433,-0.262668573197,0.115327849274,0.0179093875038,-0.224961448906,0.119193568337,0.00649262484498,-0.100565924659,0.0352031708567,0.0104632317791,-0.0261825839374,0.106870433959,0.0143487934204,-0.0376095936597,0.113914392163,0.00985542886184,0.00985542886184,0.115942251729,0.053305827127,-0.00724015962192,0.117984600765,0.0459783965621,-0.0839755409021,0.113678075352,0.0178756476684,-0.0570789365193,0.037037037037,-0.120522125998,-0.105631945959,0.0598963691751,-0.0309502465262,-0.183996777517,0.00698730469349,0.0768375730176,-0.0931756148194
"41","SREBF2",-0.1732940608,9.1103612778,8.9370672169,0.0337356719461,0.0236093344675,-0.0448953420919,0.0232836218287,0.0534472312134,-0.505159046982,-0.00476121330982,0.0148223407558,-0.130148344217,0.0762290282144,0.026656256034,-0.368561614584,0.0873869059449,0.00581339232859,-0.344773768648,0.0339576031946,0.0101409402327,0.055740913387,0.0965860527391,0.0197306961659,-0.0440996054471,0.0761505158697,0.0125097611428,0.0125097611428,0.0798444938581,-0.00434644032171,-0.124261173677,0.08282044223,-0.0158748650019,-0.185729241642,0.0850295917743,-0.0232703528758,-0.162607422305,0.0106366438148,-0.127720411328,0.0642572382104,0.0473413283299,0.00747663551402,-0.062458368378,0.0147352793962,0.0385183640632,-0.185319309994
"42","HOXA9",-0.1727359074,3.0796356111,2.9068997037,0.000640474351774,0.0540778298273,0.301417140315,0.00794671677025,-0.0837873151502,-0.259953045788,-0.0357836338419,0.0444273575048,0.292263458336,0.0345586093325,0.00488629579267,0.314485080124,0.0630057281959,0.00240457612189,-0.216347463014,0.0395321665076,0.00213685482574,-0.220731164741,0.0378053736503,0.00170373432652,0.320500820739,-0.0107251858615,-0.00339326464651,-0.00339326464651,0.0400251710792,-0.0940650762618,0.30687123434,0.0508291664637,-0.105835749854,0.375401347215,0.0279192670938,-0.136246502724,0.371250695337,0.00222222222222,-0.108883374145,-0.127468614051,0.056874832152,-0.075,-0.203844558833,0.00629063433491,-0.047624573681,0.398246349208
"43","FOSL2",-0.1563748122,5.7409766111,5.5846017989,0.00246061873374,-0.0835080722828,0.13576370601,0.00517565395107,-0.124232005764,-0.521348797661,0.0185411958085,-0.101802704478,-0.371354553356,-0.00718717210847,-0.11821695091,-0.358860394413,-0.00280953546563,-0.155351960912,-0.369810713383,-0.000530621556606,0.0112608438852,-0.232776852929,-0.0593034171536,-0.123611590222,0.11192687175,0.0348501596659,-0.132473876293,-0.132473876293,-0.0069491065688,-0.121927205044,-0.410285550213,-0.00603993401766,-0.128376248908,-0.396759555481,-0.0318141045616,-0.233049873592,-0.397500637888,-0.0459252402916,-0.0779778803381,-0.0996126190061,-0.0415475252126,0.0559158500132,-0.268214660857,0.0124003453307,-0.0962580527539,-0.417770494775
"44","TCF12",-0.1484424405,8.6383393611,8.4898969206,-0.0255727539832,0.0888809130925,0.18237866374,0.010218283116,0.0928364665247,0.117534208921,0.00323857405899,0.0903392420467,-0.1238846137,0.094037740108,0.0376765205242,-0.309052789,0.10134441308,0.0232670511564,-0.292274084227,0.00814090330789,0.0061736885441,-0.036353084332,0.0972230183624,0.0313867908026,0.428077755353,0.0255437372047,0.0262456496335,0.0262456496335,0.0956490833321,0.0650040243827,-0.0358951444189,0.0977154671584,0.0571763496227,-0.107034586888,0.108462323874,0.0500759445605,-0.0849848465083,0.0662886897202,-0.0905259454568,0.622865153308,0.046642656721,0.0156786252782,-0.0322458091156,0.00957724144174,0.0932198933566,-0.120459187313
"45","SOX10",-0.1468324868,5.24596,5.0991275132,-0.0193464758432,0.0879103168862,-0.080171315804,-0.00104373790603,0.145967743929,-0.0410839757167,0.00442420331372,0.0765336787239,0.113607903543,0.0754037011833,0.0648914297241,-0.185817725964,0.0781698080687,0.0452228623916,-0.133805363347,0.0119960463153,0.010676203138,0.374767665934,0.0767621745288,0.0576157629976,-0.0888274298576,0.0833677227199,0.05147241544,0.05147241544,0.0757637351491,0.128106114407,0.378668569082,0.0762601876593,0.122906863084,0.261919989922,0.0813205078182,0.0706357662937,0.315657336139,0.0349765453111,-0.111648193746,-0.0770121674647,0.0470357433015,0.0281061716333,0.0239180416406,-0.00572208533616,0.142594574803,0.190420227516
"46","FOXP2",-0.1347974762,2.351259,2.2164615238,0.0504671373386,0.00403430148741,-0.421156600273,-0.0355797655815,-0.051856272747,-0.168448120818,-0.0293214724582,0.00285569864184,-0.122557773995,0.0520473168866,-0.0338773976896,0.0925337721149,0.0668972625045,-0.0398949554705,0.365753224445,0.0212706666127,0.00183694820986,-0.053709360606,0.0476974261691,-0.0358273339421,-0.423126425153,-0.0126086956522,-0.0381989371927,-0.0381989371927,0.0534744094658,-0.0855952578233,-0.377179430273,0.0580584414701,-0.0893285945164,-0.360623878551,0.0498909072017,-0.0967678401128,-0.369423111484,0.0304936882754,-0.13682053089,0.0137886489818,0.0563614636266,-0.0101097319662,-0.232973753517,-0.0199730878722,-0.0490792643874,-0.335021510509
"47","ATOH1",-0.1075542619,4.6970676111,4.5895133492,0.0119470102188,-0.113877729007,0.0997088846479,0.0053358263255,-0.196953191682,-0.063111358146,-0.00761992951528,-0.143983145808,0.181454488111,0.000717284052917,-0.131919617289,0.112453793861,0.0103091493603,-0.175525334488,-0.0553102763574,-0.00620872281094,0.00431448348871,0.404409000504,-0.0568840282706,-0.140041489725,0.20200751079,0.0176606832658,-0.151714233627,-0.151714233627,0.00132344982505,-0.201282317284,0.110471186353,0.00334255038585,-0.208153977009,0.0835456387835,-0.0318556648793,-0.274271204327,0.0966060444431,-0.0158374792703,-0.081830748752,-0.107403552596,-0.0378010834898,-0.0603677221655,0.251353929645,0.0170896269883,-0.166053780993,0.0729488346674
"48","PPARG",-0.1072274577,2.7755172778,2.6682898201,-0.0081579978471,0.0301312810592,0.428807253165,-0.0150240891133,0.0273904846565,-0.489727654755,-0.0124475987793,0.029505399969,-0.359806970759,0.0755800660556,-0.0220177253655,-0.360310993345,0.0844494677363,-0.0453830023064,-0.341690993404,0.0227036859375,0.0131798339019,-0.192590236507,0.0482572387523,-0.0300339213026,0.422995099369,-0.00590246531989,-0.0410390938322,-0.0410390938322,0.0780770438864,0.0268203474988,-0.396764482298,0.0815679347289,0.0169152429734,-0.410186380159,0.0734875325455,-0.042027027027,-0.397028097001,-0.011391694725,-0.146601247001,0.475843835201,0.0453915238958,0.0592074592075,-0.227583117111,-0.022177823524,0.0458144138072,-0.420731441327
"49","GATA3",-0.0812258624,4.4545267778,4.3733009153,-0.041850542323,-0.125317772114,-0.378861993579,-0.0222910394939,-0.160170117756,-0.239740081559,-0.00829020398603,-0.128690421514,0.306320267787,-0.0708328007888,-0.217808930882,0.238901007306,-0.0543033575277,-0.268089242365,-0.148681446392,-0.0577800202904,0.00150468713189,-0.108473590753,-0.0822759307864,-0.232017004433,-0.382306420001,-0.0790732647323,-0.247789533599,-0.247789533599,-0.0690203209819,-0.156791891323,0.200908765159,-0.0658773081097,-0.162519002094,0.293724721119,-0.0934511216515,-0.236354254262,0.268290679913,-0.0688979039892,-0.0197792404254,0.358994394047,-0.0953575964613,-0.167075664622,0.301097387167,0.0035916292566,-0.116015667747,0.26920886604
"50","NR2F1",0.0013346402,5.3702576667,5.3715923069,0.0471438248551,-0.0604369706092,0.0289649274916,0.0202840709668,0.0019745691024,0.417898236848,0.0101427063736,-0.0603467679264,0.188332462205,0.0201455266081,-0.00783983234029,0.219978991179,-0.0010369955157,-0.00633946216818,0.238860123203,-0.0284769968796,-0.00723732105488,0.0934733189258,0.00825120981172,-0.00658756335481,0.29060123011,0.0972011325172,-0.00521356775452,-0.00521356775452,0.0160409473443,0.0284215163057,0.195257889758,0.00712809550523,0.0445005361563,0.22005036629,0.00421354865038,0.0875812743823,0.207300459033,0.0441121725563,0.118219485327,0.02963392417,-0.0584904766035,-0.0210070810386,-0.0165319087035,0.02082590612,-0.0192282041258,0.201061768997
"51","SOX17",0.009083373,6.3657267222,6.3748100952,0.0319805857148,0.0141381374345,0.408818135138,0.00707754972018,0.0375490794094,0.20950498998,0.0443772805063,0.0187274557693,-0.228506641802,0.00435063205638,0.0477762652955,0.0685099976197,-0.010824899868,0.052186674488,0.214051788444,-0.00192759090293,-0.00980227695093,-0.196849554566,-0.00200653878904,0.0512054428933,0.373976990124,0.111945651032,0.0539591944452,0.0539591944452,0.000461461971747,0.0790627320677,-0.33848446367,-0.00402485687751,0.0890019925711,-0.401171407595,-0.0193233384267,0.101626684193,-0.411655844314,0.00727375565611,0.0946403922759,-0.0274444540252,-0.0056385289154,0.0156732262256,-0.152508781273,0.0161847214237,0.0437676217367,-0.388527184807
"52","NKX2-5",0.0132755053,5.8370343889,5.8503098942,0.0908659027684,-0.0371048950632,-0.379510972856,0.0253311626206,-0.0116520600749,-0.118267301723,0.003503079232,-0.0409785511771,-0.124594019834,0.00281185311343,0.000900638200588,-0.0456821852353,-0.00502891191821,-9.9122061739e-05,-0.0488030655261,-0.00856987941311,-0.00501444699548,-0.166459371659,0.00892809531463,0.00610575377568,-0.390743044464,0.0605718703189,0.00326204315172,0.00326204315172,-0.000212074673428,0.00840505473333,-0.318806686255,-0.00249880637808,0.0171561015264,-0.266765136569,-0.008816087974,0.0609011292925,-0.275719208617,0.00710584752036,0.171588819623,0.109474554196,-0.0377453236052,-0.0219111969112,-0.102185242398,0.0249453867336,-0.012754120965,-0.262192324229
"53","HLF",0.0136273545,3.2289502222,3.2425775767,0.0108178325367,-0.00618815086687,0.437905983777,0.0322766846263,0.119932364141,0.0739895854989,0.0802172195893,-0.0144599613199,-0.308729149122,0.0448502755156,0.0397212481572,-0.271352876692,0.0267463368452,0.0239941176896,-0.368393867237,-0.021541219071,-0.0293978706544,-0.0342416407254,0.0456067201184,0.0420917223942,0.446144213567,0.147795948319,0.0352917311842,0.0352917311842,0.0394990208877,0.114879545951,-0.176802836814,0.031404607071,0.130278564088,-0.261719699523,0.0507394224065,0.157673860911,-0.235699105538,-0.00885885885886,0.0408916402726,-0.140210243345,0.0110399224146,0.102972802024,-0.366541824975,0.0195161189408,0.054980531601,-0.303730570071
"54","HNF1A",0.0615635265,4.7222006111,4.7837641376,0.0751722261526,-0.0201678453284,0.11009551749,0.107237233529,0.192820896899,0.00849625590331,0.0748312557008,-0.0164329396063,0.0427158096074,0.150984400086,0.0293523432063,-0.380520141257,0.132094377793,0.0498911629006,-0.311709480404,0.02448167557,-0.00254147149094,0.036443877268,0.105979493781,0.036830391685,0.418835828896,0.169386464263,0.0399019157055,0.0399019157055,0.147744523052,0.140183530178,0.341320315224,0.142082594323,0.151117949873,0.315565001671,0.151552188495,0.184026304625,0.327913579367,0.227273748035,0.148996716256,0.14071196982,0.0227062298358,0.0245639534884,0.230575498458,0.0917960092248,0.0865555734378,0.290482906103
"55","NR2E3",0.0628757619,4.0700125556,4.1328883175,-0.0412452646466,-0.0464488482299,0.111448750162,0.00165598290598,0.120306698971,0.450048138344,0.00345136305815,-0.0278937338863,0.211192229257,0.0245153831586,-0.00967362074906,0.253096096618,0.000495716940824,-0.0104340217684,0.25555576191,-0.0959096693147,-0.000933728779687,0.181609018616,-0.00552476201952,-0.00595333492367,0.314857841071,0.0113447374673,-0.0101205497008,-0.0101205497008,0.0244314671366,0.134355841551,0.340757213278,0.0189503402899,0.139750980108,0.349465644617,0.0247119838435,0.0473240832507,0.348728242861,0.055710577547,0.152077967734,0.124277233209,-0.0610076435536,0.0900432900433,0.00705390140138,0.00312367234554,0.0720028555771,0.335687170789
"56","PAX2",0.0664314656,5.2315701111,5.2980015767,0.0672161833081,0.0124588456628,-0.00965167718286,0.0343678823084,0.0213487080884,0.10177566209,0.0134752700278,-0.000198039485556,-0.0969639818771,0.0347767242622,0.0634281334307,-0.283824248326,0.0151767989629,0.0906725200822,-0.362728231192,0.001258932088,-0.25925790881,-0.0059848600933,0.0504462209112,0.0655175776627,-0.248004380643,0.178081775247,0.074404361071,0.074404361071,0.0286590039722,-0.0216990492942,-0.335708504832,0.023973627218,-0.011970920296,-0.280339008719,0.0411275965555,0.0463244613435,-0.303092433957,-0.0158823529412,-0.0587989974693,-0.131159010154,-0.0132755018985,0.154452054795,-0.129692895275,0.0503300986319,-0.0447538300934,-0.247176436374
"57","PAX5",0.0677025556,4.4629486667,4.5306512222,-0.0511209767713,-0.0336779176757,0.384283855494,0.0118099373518,-0.00268578717267,0.191402694642,0.00770032510404,-0.0299123753928,-0.268898926488,-0.000718195666336,-0.00622505744471,-0.296994314022,-0.013199704005,-0.00478703421151,-0.293999591804,-0.00984272368335,-0.0174833760442,-0.138247945663,0.0207244212989,-0.00387752371209,-0.156881205579,0.118544240941,-0.00136615846129,-0.00136615846129,-0.00309593166745,-0.00250730317928,-0.0834354604646,-0.0062373807064,0.00455432927763,-0.214107224338,-0.015752642402,0.0518552565603,-0.163566490344,-0.0376525068831,0.0501036868657,0.0133110337006,-0.0314585729526,0.00392107892108,-0.160975075357,0.0139157124503,-0.0251081595038,-0.253492715586
"58","RXRA",0.0741517989,6.7146771111,6.7888289101,0.0565977189521,-0.00917694498915,0.342026278334,0.00212733799358,0.0250766453474,0.411859275514,-0.00654169502964,-0.0079346982496,0.336656289765,-0.000783529587801,0.0154083316029,0.293621886755,-0.00898502802279,0.023163316211,0.303342453038,-0.0142671709433,-0.0110343005132,0.133649519939,0.0212010334798,0.0192707775887,0.303862223241,0.0765165737293,0.0215505289601,0.0215505289601,-0.00231796535255,0.0321766789262,0.352752180903,-0.00511464092448,0.038991766082,0.364492890289,-0.0126665045986,0.0499823850625,0.363738567087,-0.000369655764374,0.113401108633,0.0359936570527,-0.0356893166506,0.00694980694981,0.293727817954,0.00553676849387,0.0133795844506,0.36876658297
