"","FACTOR","EXPR_FOLDCHANGE","EXPR_GM12878","EXPR_K562","Boyle_flr_ks_stat","Boyle_fos_ks_stat","Boyle_tc_ks_stat","Centipede_90_flr_ks_stat","Centipede_90_fos_ks_stat","Centipede_90_tc_ks_stat","Cuellar_90_flr_ks_stat","Cuellar_90_fos_ks_stat","Cuellar_90_tc_ks_stat","Dnase2Tf_flr_ks_stat","Dnase2Tf_fos_ks_stat","Dnase2Tf_tc_ks_stat","FLR_90_flr_ks_stat","FLR_90_fos_ks_stat","FLR_90_tc_ks_stat","FS_flr_ks_stat","FS_fos_ks_stat","FS_tc_ks_stat","HINTBCN_flr_ks_stat","HINTBCN_fos_ks_stat","HINTBCN_tc_ks_stat","HINTBC_flr_ks_stat","HINTBC_fos_ks_stat","HINTBC_tc_ks_stat","HINT_flr_ks_stat","HINT_fos_ks_stat","HINT_tc_ks_stat","Neph_flr_ks_stat","Neph_fos_ks_stat","Neph_tc_ks_stat","PIQ_90_flr_ks_stat","PIQ_90_fos_ks_stat","PIQ_90_tc_ks_stat","PWM_flr_ks_stat","PWM_fos_ks_stat","PWM_tc_ks_stat","TC_flr_ks_stat","TC_fos_ks_stat","TC_tc_ks_stat","Wellington_flr_ks_stat","Wellington_fos_ks_stat","Wellington_tc_ks_stat"
"11","TP63",-2.7040282939,7.2572711722,4.5532428783,-0.10196383819,-0.0473706723431,-0.236366500369,-0.0982469523707,-0.0646751522813,-0.0646751522813,-0.174916943522,0.0985279149316,0.0757375820466,-0.382227053454,-0.156034917808,-0.319237938407,0.00775360379816,-0.0582940372272,0.0476172116465,0.0275452166021,-0.078375914483,-0.187313334551,-0.388156569693,-0.135755745549,-0.349422228633,-0.392251983131,-0.0553964514894,-0.230173073864,-0.370945252096,-0.0916853214466,-0.12414128235,-0.294593183119,-0.143924098595,-0.288450559129,-0.114259265182,-0.0464025058184,-0.249204104069,-0.0137663950305,-0.176146750088,-0.206950648836,-0.0847016140706,-0.191189509639,-0.191189509639,-0.0702695332762,-0.220572624654,-0.111504442769
"12","NFKB1",-2.6782338148,9.3209454444,6.6427116296,-0.144612325305,-0.0738873916635,-0.684699907729,-0.148020198697,-0.0907045512936,-0.0907045512936,0.105559673832,0.0907031416128,-0.100164468235,-0.392279298648,-0.28001010598,-0.689746387176,-0.0231811372005,-0.0943179743161,-0.662978471726,-0.119583183265,-0.204508098801,-0.586497389594,-0.397476442325,-0.149794354085,-0.705335730996,-0.400739201937,-0.10319031767,-0.186196755371,-0.38321143521,-0.130214707936,-0.624460502397,-0.328325440839,-0.270521427875,-0.686188256105,-0.245862538988,-0.235102733497,-0.65292062219,-0.0307473859271,-0.0953760662822,-0.581510241508,-0.0405077973434,-0.127189517814,-0.127189517814,-0.136079083861,-0.367723917814,-0.606499699448
"13","MEF2C",-2.312784923,10.5691021611,8.2563172381,-0.260030212254,-0.145239254405,0.0684025358402,-0.0552817310123,-0.147495914277,-0.147495914277,-0.0700581395349,0.0917129187598,0.678730175415,-0.302748076955,-0.191260525073,0.079789466538,-0.0919179794949,-0.155668015061,0.0615042521862,-0.11552970495,-0.235160793396,0.280350461,-0.304761591062,-0.204887590373,0.0958348615467,-0.306227730013,-0.185730103127,-0.0846004603399,-0.299317198249,-0.116201519675,0.15953518283,-0.283552594236,-0.182279566128,0.0612751236845,-0.210806545885,-0.20431083961,0.0573253437099,-0.0202318625349,-0.0929664212251,0.2790829686,-0.0695782568237,0.0343202223517,0.0343202223517,-0.0819439308966,-0.145232403718,0.195564580914
"14","ZEB1",-2.2585500701,7.4546499167,5.1960998466,-0.0888547094887,-0.0275653960277,-0.340798447672,-0.0852064396275,-0.0445976893645,-0.0445976893645,-0.285203094778,0.0580163095659,-0.0721956276287,-0.237405616848,-0.100803813008,-0.383212492251,-0.0328007182284,-0.0348092938038,-0.405561988227,0.000805572347368,-0.0999803824513,-0.189915012654,-0.241520695084,0.0594020048393,-0.389650745153,-0.245256308073,-0.0424574420443,-0.0269761579796,-0.229587391967,-0.0599078620355,-0.196953304171,-0.194908629566,-0.0909061174871,-0.37495518544,-0.107425621421,-0.0605029108896,-0.218568988117,-0.0230690190526,0.00848369670291,-0.2074519154,-0.0575444845474,-0.0544931616133,-0.0544931616133,-0.0711210944985,-0.175789473684,-0.187889297129
"15","HNF4G",-2.2212048127,4.5430166222,2.3218118095,-0.318746547898,-0.0541252457375,-0.154501003231,-0.118709129834,-0.0546073095718,-0.0546073095718,-0.102642973119,0.0949325650701,-0.0771548295991,-0.302132827185,-0.149550303139,-0.176836230085,-0.108686703469,-0.0524723541486,-0.0250172168505,-0.0569130747443,-0.158817809854,0.0390438678094,-0.304915728453,-0.0978500551268,-0.150875106236,-0.306675548535,-0.0893915012814,-0.193386276734,-0.296518498068,-0.076249873238,0.177403479556,-0.269879017764,-0.137501914143,-0.2013685865,-0.155744932361,-0.146330466518,-0.00893861456529,-0.135558540222,-0.0776897047192,0.0407119397057,-0.115839722603,0.0508792014012,0.0508792014012,-0.126343981879,-0.271694971695,0.167971103899
"16","REL",-2.0628250132,8.3178302778,6.2550052646,-0.080978737933,-0.0745828088583,-0.476982012666,-0.0729274004684,-0.0876806543819,-0.0876806543819,0.246774193548,0.0826807193955,-0.0924097014359,-0.255220867845,-0.154682973762,-0.505182224438,-0.00828552366826,-0.0864705135666,-0.389611970288,0.0321518016188,-0.109386677739,-0.37501321151,-0.260223179302,-0.0981096504637,-0.510074378338,-0.263241269473,-0.0944997040972,-0.188748658186,-0.246215751316,-0.125934169989,-0.464630343449,-0.193257251019,-0.14595921951,-0.497461607441,-0.0778364536879,-0.106159994264,-0.505660305593,-0.00412712063092,-0.0716418949517,-0.390624783634,0.00592777485841,-0.0966920944282,-0.0966920944282,-0.0787119060969,-0.349556809025,-0.372178668609
"17","FOXO1",-1.8556499325,8.4851884722,6.6295385397,0.111811517979,-0.107401448373,0.0454249870483,-0.0218231286998,-0.113241485284,-0.113241485284,-0.0769005847953,0.0915262489497,0.138063523113,-0.128788504785,-0.0337787009949,0.0487913197358,-0.000966167427732,-0.0782682388659,-0.0257145318491,-0.00573762727365,-0.207554193845,0.210518093414,-0.131614824371,-0.125171505406,0.0625121148435,-0.13368739887,-0.113144768471,-0.0420521198684,-0.122099049133,-0.128145767145,-0.0816627934496,-0.0858697874259,-0.0252368751176,0.0303743266293,-0.0722990513073,-0.00974350658141,0.142139194741,-0.0105895047445,-0.0221228464483,0.200464368448,0.00588139247818,0.0223884555998,0.0223884555998,-0.0179944920234,-0.1125,-0.0346991503957
"18","NR3C1",-1.8464264783,9.6750664889,7.8286400106,0.0323201205078,0.021030363867,-0.228585366196,0.000905991119032,0.0144240808883,0.0144240808883,0.0307679791734,0.082181652025,0.0297432057093,-0.0776303038207,-0.0311499489628,-0.281276356818,-0.00824832058088,-0.0480637550664,-0.0663675965183,-0.0147205796949,-0.170995465305,-0.0413016215956,-0.0805854562368,-0.0402780176135,-0.282123173106,-0.0815800425345,-0.0917606795827,-0.0287178932233,-0.0730083000549,-0.127087464199,-0.0725073723647,-0.0599359168257,-0.0228781954718,-0.266203311834,-0.0674513019587,-0.0125546634036,-0.291792806219,0.028956717126,-0.0173598072075,-0.0636630767923,0.038069233335,0.0174194986471,0.0174194986471,0.00909962036609,-0.165231788079,-0.0416595026691
"19","IRF1",-1.7207699439,8.2650849333,6.5443149894,0.119431036154,-0.103413013479,-0.502193482669,-0.0936507936508,-0.107919449525,-0.107919449525,0.13764619883,0.0786828459431,0.56060601919,0.106655304416,-0.0422216223058,-0.51045034493,0.012742989669,-0.16167676109,-0.346512341565,0.0825447797854,-0.205392764223,-0.364783765597,0.107476038807,-0.236889692586,-0.507056912021,0.10761007865,-0.183213567638,-0.0663375918652,0.104409330544,-0.116203792006,-0.424637916268,0.110734535787,-0.0360854442853,-0.508833528763,0.0979363433984,-0.0409144595077,-0.293709646258,0.027619275953,-0.0805560972976,-0.363228132851,0.283387751075,-0.00478828543374,-0.00478828543374,-0.123230769231,-0.148786157025,-0.42629696287
"20","SOX9",-1.6463590651,7.5684512556,5.9220921905,0.163225410366,0.0104486147672,-0.235439102755,0.0297786555651,-0.000430377151207,-0.000430377151207,0.213935406699,0.0608010998385,-0.0559245114529,0.00300797480379,-0.0157150367632,-0.275333175821,0.0149230004968,-0.0533627448469,-0.0127829346141,0.0500244496604,-0.173457549161,-0.0632060995746,-0.000829918849729,-0.0770301964233,-0.268571389573,-0.00186594695158,-0.0840448096649,-0.0307280634275,0.0110003115234,-0.100536062378,0.17358604604,0.00143968313542,-0.00797755184849,-0.259631900355,-0.00184218327979,0.0247409190076,-0.0816235766557,0.0647231754663,-0.000234005156198,-0.0678684942991,0.12760371795,0.0360919901059,0.0360919901059,0.0495621825462,-0.237001594896,0.0261275751736
"21","RFX5",-1.5997156902,8.0311831611,6.4314674709,0.106570789939,0.100191164066,-0.308630540926,0.0651880017771,0.0855842714179,0.0855842714179,0.161734164071,0.0779949501953,-0.0576637569872,0.0105438149202,0.0515356664505,-0.391358157674,0.00315505581474,0.00820727828993,0.0318775996604,0.0618059336178,-0.070727304363,-0.187793881617,0.00610681219018,0.0267693249031,-0.416129194573,0.00393934409661,-0.0143431822427,-0.00294068747105,0.0150742838261,-0.0812094091557,-0.33850132228,0.0417502122071,0.0595341670463,-0.349114870136,0.040613242769,0.0839924532172,-0.371588364003,0.063235927868,0.0353384171809,-0.2048605406,0.0400526160414,-0.0314513815465,-0.0314513815465,0.0642020487519,-0.0281388580931,-0.260554250393
"22","ELF1",-1.3094928196,9.8966036556,8.587110836,0.0582086502112,0.111301280202,0.0993720022758,0.0800675313722,0.103057155593,0.103057155593,0.23432087811,0.0440025144468,-0.0163670363698,0.111854056149,0.0733855857358,0.162232560573,-0.0116073958026,0.0360098334665,-0.0399661727311,0.166797310081,-0.113005969636,0.270801854018,0.109413648086,0.0315133833472,0.180943245649,0.108127629876,-0.00972610352682,-0.504376048567,0.116295476919,-0.0830938987056,0.167190035097,0.121596709761,0.093957330767,0.136171540254,0.157692244019,0.0627208895079,-0.0234532169288,0.0561546421616,0.0224370601057,0.257757461452,0.060794148817,-0.12474480262,-0.12474480262,0.0540188657554,-0.158867521368,0.177671019676
"23","GATA3",-1.2686822069,5.6419831222,4.3733009153,-0.171526152624,-0.0919473221976,0.0221865931502,0.0219938459161,-0.0808644584594,-0.0808644584594,0.0353281853282,-0.0884985321951,-0.0483331585163,0.0486641797341,0.124606632673,-0.0207414894747,-0.0483416304567,-0.101798502477,-0.374862262287,0.0424681154158,-0.047814111135,0.177756021798,0.0467462089691,-0.01450577173,-0.0179859028207,0.0475162436185,-0.140412523227,-0.0419457526226,0.0512067401517,-0.0562870699881,-0.215417937492,0.0521499712128,0.121173441368,-0.00557809316582,0.0540951557951,0.0764741035857,0.101818673303,-0.0352854883268,0.0254035627469,0.174513334713,0.0641527134894,-0.0120884338509,-0.0120884338509,0.0105193674742,-0.199372586873,-0.195159567806
"24","T",-1.1067090704,6.8493768111,5.7426677407,0.121057956774,0.109301151484,0.0376553888254,0.0794430655557,0.105329447597,0.105329447597,0.108199847445,0.025147259557,-0.0704045437265,0.196885651793,0.135750955753,-0.094602057927,-0.00943883257292,0.0391606527313,-0.39817643078,0.154113766128,-0.0922090842415,-0.26345969431,0.193936588233,0.0372225230103,-0.141223721109,0.191788973496,-0.0242192531465,0.0391558055616,0.199126291899,-0.0821428571429,-0.238184562604,0.187494092842,0.15008483495,-0.0189057775371,0.1828778002,0.144563891789,0.133031120279,0.0984613649324,0.0517654280375,-0.257163086865,0.117947285375,0.0364732006528,0.0364732006528,0.0549052998837,-0.247525265613,-0.174098378388
"25","TCF7L2",-1.0379809175,8.1292303778,7.0912494603,0.12067234205,0.112218991523,-0.163573459536,0.0479223744639,0.110963593296,0.110963593296,0.198577413161,0.0333437412685,-0.00666207360933,0.18281524998,0.108702505201,-0.184286857439,0.019638727591,0.0115232859293,0.116828416371,0.157566497536,-0.146790823187,0.0960106777157,0.183277593375,0.028801843318,-0.158711265591,0.183452509189,-0.0289196543646,-0.0198608173659,0.183623931083,-0.0636015175429,0.0573130184674,0.162346720691,0.115507878985,-0.189164576871,0.183490059489,0.126042700161,-0.158679963987,0.061497964972,0.0319045796541,0.0861355508781,0.100020396333,0.0140614099815,0.0140614099815,0.0345134307804,-0.127335047129,-0.0363720486542
"26","CREB1",-0.9881595307,9.1957632556,8.2076037249,0.11870401811,0.145073452579,-0.0144790750295,0.0888018207525,0.145343959562,0.145343959562,-0.15,0.0176645135028,-0.0451398147366,0.173997266448,0.201465144133,-0.156055321237,-0.0635364281109,0.0578723991215,-0.372790800638,0.0543663471778,0.0236953633474,-0.305326878565,0.176586932918,0.120335230867,-0.20725926592,0.178038606044,0.0107312365104,-0.0543613894125,0.177545057425,-0.109761388286,-0.269254935281,0.167839145446,0.207880500736,-0.0589908981015,0.0896007269398,0.212687327471,0.143547270151,0.0924597855579,0.0660602959425,-0.295520405064,0.142783573723,0.178404102354,0.178404102354,0.0554043797929,-0.153658536585,-0.125716729719
"27","STAT3",-0.8814597069,10.6886940667,9.8072343598,0.0517557409124,-0.130427332595,0.0707095015278,0.0477400165609,-0.126846358532,-0.126846358532,0.128354978355,-0.0839105324338,-0.0335497885137,0.0792317232146,0.036216983124,0.0300467349552,-0.0462900412643,-0.1208178767,-0.281605455017,0.102811652056,-0.0807346214906,0.193252125733,0.0787403342929,-0.102787456446,0.0261373330694,0.0790493852443,-0.138179629465,0.00383489384101,0.0802445383291,-0.0446247836503,0.179367386803,0.0716611188742,0.0452889695013,0.0397464935964,0.077706807978,0.0742282765409,-0.0266566278951,-0.0137666052734,0.0121230418553,0.197451936059,0.106866406361,0.0145266207555,0.0145266207555,0.0405807644402,-0.0295454545455,0.00910973358765
"28","ELK4",-0.795803281,8.3372889,7.541485619,0.150658366876,0.108817003566,0.106592405923,0.0865457193516,0.118251246006,0.118251246006,0.198350253807,0.0278072458432,-0.015403482226,0.142041097126,0.119427196081,0.165909112498,-0.020364930499,0.0568233992373,0.137700466217,0.148384313608,-0.0135170098042,0.123312261478,0.140427489837,0.110639981909,0.115568841706,0.13895396488,0.0117494960246,0.0145189772503,0.145563323285,-0.0714601532355,0.00800701911811,0.144213177773,0.128701353329,0.142469751567,0.193783178992,0.134745213435,-0.0479778683471,0.0556543652507,0.0639099277752,0.152432968275,0.0358635940508,-0.161040711891,-0.161040711891,0.0479127931115,-0.16737925574,-0.00287142868632
"29","GFI1",-0.5620815095,5.9600981444,5.3980166349,-0.0260266807661,0.0334776549824,0.113504787307,-0.00235573805922,0.0254609356042,0.0254609356042,0.021568627451,-0.0954596278212,-0.0233168625764,-0.00654741449559,0.027687648917,0.0938535839646,-0.0442610837438,-0.0162405247127,0.126911422607,0.114506616734,-0.00453988848396,0.298403608352,-0.0116022436635,-0.00615412058509,0.11184186198,-0.0151247348239,-0.0474796997089,-0.122872800022,0.000454621130052,-0.0337540972972,0.189397953015,0.00698331309922,0.0399438831696,0.0809303549867,0.0532437598566,0.0484046365763,0.00542059385576,0.03100373991,0.0122397245822,0.289303159058,0.0356444369206,0.0319613369865,0.0319613369865,0.0103184652975,-0.132089552239,0.188769512615
"30","HOXA5",-0.5275261365,3.8746430889,3.3471169524,-0.0119032424028,0.0799973334648,-0.257551671162,0.0499098605253,0.0679190092998,0.0679190092998,0.234572475894,-0.0112462091811,-0.00300140820094,0.00312857267567,0.0149184886403,-0.296252865637,0.00163031853202,0.0271945941189,0.139514476364,0.165647908372,-0.0615059238148,0.210696069361,0.00102645973957,0.0403774981495,-0.326920807129,0.000469704733455,-0.00503454919939,-0.0173837964428,0.00655057179317,-0.0369245719495,-0.150019237118,0.0215336727453,0.0209012282704,-0.264775055964,0.132654967465,0.0848223371362,-0.27548369251,0.0464370824373,0.0676509063581,0.181711801653,0.0410741570859,-0.0133488892981,-0.0133488892981,0.0411777159142,-0.0342075578116,-0.123071174759
"31","SREBF2",-0.459857972,9.3969251889,8.9370672169,-0.00208439271351,0.0434162086215,-0.0944795204285,0.0418252886555,0.0248820636751,0.0248820636751,0.153901864301,-0.0367588139795,0.000772692186035,-0.0426409658655,0.0139599026078,-0.140847945107,0.0179579032584,-0.0129014188277,-0.422990072048,0.00957827961364,-0.0603278147763,0.135840604874,-0.0466001954864,-0.0407752153376,-0.157121027562,-0.0499308860965,-0.0255826579798,-0.00183434406976,-0.0386259621533,-0.046918653423,-0.424702806934,-0.00850074992618,0.0264471087421,-0.128804787278,-0.0295607097135,0.0269182664558,-0.407666936637,0.0158229700331,0.0480014676095,0.103427212591,0.0659843843427,-0.0130891340647,-0.0130891340647,0.0345606865046,-0.0257509386733,-0.043650234929
"32","ZFX",-0.433919887,8.1387332944,7.7048134074,-0.0226823661475,0.0390313595358,-0.0526601390555,0.0736978219659,0.0256894117033,0.0256894117033,0.123032191482,-0.010097591966,0.00816332251265,-0.0558497474881,0.00915059427789,0.00130166316725,-0.0253331517393,-0.0104585525408,-0.0691362670391,0.0349820428343,0.105093520235,0.213627507249,-0.0599732372558,0.00114028256758,-0.0425744495315,-0.0624036086695,-0.0156133689589,0.0566750160075,-0.0496587096538,-0.0312223169562,0.127632484076,-0.0133902494001,0.0142447496768,-0.0185199651936,0.00853236350631,0.0407390035475,-0.275883563748,0.0619958355489,0.0718075325718,0.17431728315,0.0191824128468,0.0423739651421,0.0423739651421,0.0610071534519,0.0287833435513,0.158558853912
"33","SPI1",-0.4202474275,7.6557025333,7.2354551058,0.0622211266663,0.0379954234734,-0.265382434707,0.0761795652647,0.0222546607861,0.0222546607861,-0.0239330385121,0.0142917641594,0.0242285609499,-0.0791946521622,-0.032579630739,-0.283830756073,-0.0365824403934,-0.0434231681224,-0.295881661695,0.117938906083,0.208831608222,-0.180298561846,-0.0826481518015,-0.02134454074,-0.321042000251,-0.0846534086576,-0.0436274841921,-0.335789976357,-0.0726879398733,-0.0367239569242,-0.336150580581,-0.0424831480396,-0.0259010862571,-0.240438651145,0.0419138399782,-0.00472583367166,-0.413642988031,0.0632881221039,0.103082174192,-0.194667061942,0.00211829767613,-0.0751390904707,-0.0751390904707,0.0604906663626,0.0944410145599,-0.250083765508
"34","NFATC2",-0.4050990344,7.8968279444,7.4917289101,-0.133310573007,-0.0128141364915,0.0703078652418,0.00438745746232,-0.0231623871537,-0.0231623871537,0.0549019607843,0.0210715530059,-0.0250909631634,-0.0718880814882,-0.137826280167,0.0940257965573,-0.0596321937824,-0.0302638357622,-0.0480154098422,-0.0366636413127,-0.0549061153488,0.0546809807182,-0.0730640005261,-0.0380230241311,0.114959062873,-0.0747287919802,-0.0685393845151,0.00861831001952,-0.0692820815429,-0.0350991946019,0.191847632891,-0.0611362134368,-0.139008757021,0.0729675101378,-0.0725296113079,-0.156470073238,0.132215474365,0.0196272996519,0.0572274244867,0.057208205037,0.0214314508905,-0.0539924712547,-0.0539924712547,-0.0106834679811,0.0209754163362,0.199884272671
