"","FACTOR","EXPR_FOLDCHANGE","EXPR_GM12878","EXPR_K562","Boyle_flr_ks_stat","Boyle_fos_ks_stat","Boyle_tc_ks_stat","Centipede_90_flr_ks_stat","Centipede_90_fos_ks_stat","Centipede_90_tc_ks_stat","Cuellar_90_flr_ks_stat","Cuellar_90_fos_ks_stat","Cuellar_90_tc_ks_stat","Dnase2Tf_flr_ks_stat","Dnase2Tf_fos_ks_stat","Dnase2Tf_tc_ks_stat","FLR_90_flr_ks_stat","FLR_90_fos_ks_stat","FLR_90_tc_ks_stat","FS_flr_ks_stat","FS_fos_ks_stat","FS_tc_ks_stat","HINTBCN_flr_ks_stat","HINTBCN_fos_ks_stat","HINTBCN_tc_ks_stat","HINTBC_flr_ks_stat","HINTBC_fos_ks_stat","HINTBC_tc_ks_stat","HINT_flr_ks_stat","HINT_fos_ks_stat","HINT_tc_ks_stat","Neph_flr_ks_stat","Neph_fos_ks_stat","Neph_tc_ks_stat","PIQ_90_flr_ks_stat","PIQ_90_fos_ks_stat","PIQ_90_tc_ks_stat","PWM_flr_ks_stat","PWM_fos_ks_stat","PWM_tc_ks_stat","TC_flr_ks_stat","TC_fos_ks_stat","TC_tc_ks_stat","Wellington_flr_ks_stat","Wellington_fos_ks_stat","Wellington_tc_ks_stat"
"1","ETS1",-6.1447406735,9.4926612556,3.347920582,-0.467025852242,-0.461058160323,-0.51550497155,-0.443395024958,-0.479079215254,-0.479079215254,-0.415778081568,-0.183700779078,0.616449945167,-0.621504930178,-0.451959402097,-0.550344636754,-0.171598521006,-0.469884511286,-0.427582507717,-0.388639117771,-0.328164720243,-0.433705388993,-0.623650816443,-0.45823646629,-0.559495856524,-0.624912632976,-0.442236324118,-0.796958152337,-0.617214471667,-0.271565949849,-0.538751770384,-0.60388017538,-0.443910395887,-0.533061716024,-0.518187492434,-0.443879571808,-0.511857722263,-0.225671266579,-0.412280708545,-0.444985882153,-0.336105964638,-0.322498114232,-0.322498114232,-0.423491501485,-0.531016731017,-0.486609758598
"2","FLII",-5.7267807974,8.5333091889,2.8065283915,-0.209757957963,-0.275715763716,-0.180942281269,-0.396805121089,-0.287130262833,-0.287130262833,-0.461650485437,0.056200687074,-0.0216011042098,-0.538007353079,-0.382236050567,-0.290661929802,-0.171093278759,-0.221697181595,-0.482163294389,-0.332315060796,-0.247302221209,-0.0751501456818,-0.539866647571,-0.163108130857,-0.308844154885,-0.540787069519,-0.206499906528,-0.632267838831,-0.53454455546,-0.116337285903,-0.322430191253,-0.497893630296,-0.374002036267,-0.250471068645,-0.477032448828,-0.315012701502,-0.225698409365,-0.238407972088,-0.0916730995554,-0.0623681566342,-0.22953842917,-0.22377235917,-0.22377235917,-0.389424595913,-0.194031054648,-0.213993054727
"3","PAX5",-5.2702007889,9.8008520111,4.5306512222,-0.356009001088,-0.384496240842,-0.390617707002,-0.259917653468,-0.400827064034,-0.400827064034,-0.510956117054,-0.0796913180944,0.65822147651,-0.558243243909,-0.478599981243,-0.463032772608,-0.101736524628,-0.321609932297,0.0311916005211,-0.300378913422,-0.202777961445,-0.133803261273,-0.56106162531,-0.397334113321,-0.489886531223,-0.563110910438,-0.28627992439,-0.60915211648,-0.553996555998,-0.203778706711,-0.333616950127,-0.540392419881,-0.47151916827,-0.430472387386,-0.433434823451,-0.458072660534,-0.328210641913,-0.101351192156,-0.245714900115,-0.150540226443,-0.19169424198,-0.245096584404,-0.245096584404,-0.23895236583,-0.500468666174,-0.286413547979
"4","EBF1",-4.7106986376,8.5508527222,3.8401540847,-0.40649866189,-0.358590730121,-0.737837462044,-0.362654023002,-0.378151086795,-0.378151086795,-0.466717479675,0.00235456457126,0.0536209382278,-0.608725180519,-0.410657397894,-0.750604490501,-0.108659909431,-0.364951621964,-0.698473267588,-0.337835715286,-0.29803195026,-0.641699971159,-0.612119694802,-0.285594839943,-0.767941419527,-0.614388920204,-0.320825477633,-0.741186024358,-0.603261987239,-0.177037165124,-0.682430304196,-0.564289071021,-0.400695276542,-0.74153060636,-0.492916102241,-0.358386822675,-0.728905694773,-0.133608981222,-0.268308031231,-0.637494478311,-0.202561796767,-0.213067817509,-0.213067817509,-0.35704504224,-0.287153824416,-0.66927073823
"5","EGR2",-4.387910581,8.0011205333,3.6132099524,-0.383370832793,-0.168927686841,-0.70666146349,-0.287750604302,-0.190614233464,-0.190614233464,-0.486144122731,-0.0187349932391,-0.0151891806731,-0.547233351007,-0.334520415902,-0.71074675836,-0.131002674752,-0.163354178807,-0.593405664785,-0.23027111868,-0.0545340607851,-0.641055765144,-0.549585100076,-0.1568046465,-0.729097447823,-0.551003623023,-0.14831275274,-0.700522116276,-0.543293839674,-0.157365665385,-0.668422305066,-0.504374970261,-0.325765661583,-0.709028936494,-0.395163131784,-0.284916493706,-0.740297068696,-0.0638829337934,-0.23511145558,-0.635720003732,-0.163713072809,-0.242040740622,-0.242040740622,-0.240207403211,-0.28686921897,-0.655662334098
"6","TP53",-3.4232058254,9.438751,6.0155451746,-0.0429583180106,-0.131112985749,-0.128746158302,-0.163420758313,-0.1457094314,-0.1457094314,-0.129351032448,0.0888042094243,0.436085960398,-0.426258803204,-0.197040285476,-0.178758637875,-0.0510495963091,-0.194814463962,-0.0790927965685,-0.192270012551,-0.257810221136,0.0876278789284,-0.430604707933,-0.262826333712,-0.183150595854,-0.433761125054,-0.188126566416,-0.165464050248,-0.418356670446,-0.144222074678,0.0680757512316,-0.380960019668,-0.188336998424,-0.157151551022,-0.298415917477,-0.190889269108,-0.195346482134,-0.0911539713489,-0.0248515679186,0.0655035718635,-0.127158352241,-0.126555025147,-0.126555025147,-0.131716137047,-0.124955908289,0.0751009735086
"7","STAT1",-3.0891702317,11.2946308667,8.2054606349,0.00193115949246,-0.166479059964,-0.628612283308,-0.150651240224,-0.181963736815,-0.181963736815,0.00697064989518,0.020421998854,-0.0554542732991,-0.434764003527,-0.145939851414,-0.656147601866,-0.0482990670517,-0.0975264443628,-0.588286964093,-0.193959728956,-0.259023962928,-0.512955730228,-0.441153532706,-0.0660297378375,-0.666665794397,-0.445273176395,-0.0931317844348,-0.190822008572,-0.42243505583,-0.140627205521,-0.597100204418,-0.365919292966,-0.133435509543,-0.645796731383,-0.317691377462,-0.0591564613593,-0.528122844469,-0.0265961561568,-0.0954295978675,-0.518608888634,-0.0830796623768,-0.118236866031,-0.118236866031,-0.102195562453,-0.272649119708,-0.56688485722
"8","HNF1B",-2.9064154892,6.2265196056,3.3201041164,-0.147409710825,-0.201873137016,0.0897364459185,-0.152863834876,-0.208624359097,-0.208624359097,0.143438914027,0.0892432981282,-0.0699217549341,-0.325762954169,-0.13222475448,0.0782605106216,-0.0563568495707,-0.118271016716,-0.370550359739,-0.268333555406,-0.23950865277,0.125506723933,-0.329850621239,-0.235232067511,0.0253163414482,-0.331874967518,-0.145636913177,-0.204375368568,-0.320444932677,-0.0474886405502,-0.360629665491,-0.319610308803,-0.121411223273,0.107856440609,-0.351735242077,-0.197636225108,0.0578953408796,-0.108499486799,-0.111562526475,0.133104828822,-0.131738322835,-0.0116613699689,-0.0116613699689,-0.111937918972,-0.231632653061,-0.346861574118
"9","PRDM1",-2.8595321966,7.5904785722,4.7309463757,-0.0495053056259,-0.0309343225466,0.0656030131544,-0.317113694009,-0.0519914204383,-0.0519914204383,-0.259109730849,0.109504110911,-0.111078611219,-0.471171824596,-0.109935551151,0.0744548721542,-0.103728750103,-0.0600281047736,-0.0915735466432,-0.170187392459,-0.0722366562705,-0.00448638273899,-0.477012865249,-0.0445388179138,0.0309007103762,-0.480696232871,-0.0449147789982,-0.115849770503,-0.461547021575,-0.119216655092,0.0265446083378,-0.396211611557,-0.0966890875737,0.0970246417623,-0.285502409619,-0.0583407202471,-0.275970227257,-0.127040646591,-0.0474521653822,0.0164548959101,-0.0888839031947,-0.145830433102,-0.145830433102,-0.253499046468,-0.100687285223,0.0391547030299
"10","STAT4",-2.825769995,5.2946641167,2.4688941217,-0.212673118456,-0.187777381647,-0.632374465969,-0.148838087079,-0.193404755979,-0.193404755979,-0.0760958205912,0.00318965686511,-0.101975764484,-0.375757856585,-0.237246839745,-0.651409844439,-0.0752043257717,-0.193999936537,-0.592110099437,-0.0563879566502,-0.251626971319,-0.516931268963,-0.379789644762,-0.223062381853,-0.646195168073,-0.381703294992,-0.192575724214,-0.63811987902,-0.368870558812,-0.103607889437,-0.590539441194,-0.338689569623,-0.227706335722,-0.652179158596,-0.191115437916,-0.147731517199,-0.544906133177,-0.065082833766,-0.142001567354,-0.522761726384,-0.11167997244,-0.146361205143,-0.146361205143,-0.1308565649,-0.0310882420705,-0.557358304747
