FACTOR	LAB_MH	LAB_SS	LAB_SY	LAB_IU	LAB_BB	LAB_FU	LAB_SU	LAB_WU	LAB_SH	LAB_ES	MOTIF_RAW	PWM_JASPAR_RAW	PWM_UNIPROBE_RAW	PWM_TRANSFAC_RAW	MOTIF_FB	HITS_FB	PWM_JASPAR_FB	PWM_UNIPROBE_FB	PWM_TRANSFAC_FB	CHIP_USED	PWM_USED	
GATA2	NA	NA	NA	NA	NA	NP	NA	NA	NA	NP	GATA2	MA0036.2	NA	V$GATA2_01	GATA1-ext	483	MA0140.2	NA	V$GATA1_01	LAB_FU	MA0036.2	
GATA2 (EGFP-GATA2)	NA	NA	NA	NA	NA	NA	NA	NP	NA	NP	GATA2	MA0036.2	NA	V$GATA2_01	GATA1	453	MA0035.3	NA	V$GATA1_01	LAB_WU	MA0036.2	
GATA2 (SC-267)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP	GATA2	MA0036.2	NA	V$GATA2_01	GATA1-ext	499	MA0140.2	NA	V$GATA1_01	REPEAT		
GTF2B (SC-225)	NA	NA	NA	NA	NA	NA	NA	NA	NP	NP	NA	NA	NA	NA	TBP	149	MA0108	UP00029	V$TBP_01	RAW=NA / FB=CRITERIA		
GTF2F1 (AB28179)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP	NA	NA	NA	NA	TBP	158	MA0108	UP00029	V$TBP_01	RAW=NA / FB=CRITERIA		
HMGN3 (NB100-61076)	NA	NA	NA	NA	NA	NA	NA	NA	NP	NP	NA	NA	NA	NA	GATA1	216	MA0035	NA	V$GATA1_01	RAW=NA / FB=CRITERIA		
INI1 (SC-16189)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP	NA	NA	NA	NA	REST	62	MA0138	NA	V$NRSF_01	RAW=NA / FB=CRITERIA		
IRF1 (SC-497)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP	IRF1	MA0050.2		V$IRF1_01	PRDM1	382	NA	NA	NA	LAB_SS	MA0050.2	
JUNB (EGFP-JUNB)	NA	NA	NA	NA	NA	NA	NA	NP	NA	NP	JUNB	MA0490.1	NA	NA	AP1	462	MA0099.2	NA	V$AP1_01	LAB_WU	MA0490.1	
JUND (EGFP-JUND)	NA	NA	NA	NA	NA	NA	NA	NP	NA	NP	JUND	MA0491.1	NA	NA	AP1	413	MA0099.2	NA	V$AP1_01	LAB_WU	MA0491.1	
