FACTOR	LAB_MH	LAB_SS	LAB_SY	LAB_IU	LAB_BB	LAB_FU	LAB_SU	LAB_WU	LAB_SH	LAB_ES
TCF7L2 (2569)	NA	NA	NA	NA	NA	NP	NA	NA	NA	NP
TEAD4 (SC-101184)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
TR4	NA	NA	NA	NA	NA	NP	NA	NA	NA	NP
USF1 (SC-229)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
USF2 (AB60931)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP
YY1 (SC-281)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
ZBTB33 (SC-23871)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
ZBTB7A (SC-34508)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
ZEB1 (SC-25388)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZNF274 (H00010782-A01)	NA	NA	NA	NA	NA	NP	NA	NA	NA	NP
