FACTOR	LAB_MH	LAB_SS	LAB_SY	LAB_IU	LAB_BB	LAB_FU	LAB_SU	LAB_WU	LAB_SH	LAB_ES
ARID3A (SC-8821)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP
ATF1 (06-325)	NA	NA	NA	NA	NA	NA	NA	NA	NP	NP
ATF3 (SC-188)	BP	NA	NA	NA	NA	NA	NA	NA	NP	NP
BACH1 (SC-14700)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP
BCL3 (SC-185)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NP
BCLAF1 (SC-101388)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
BDP1 (2663)	NA	NA	NA	NA	NA	NA	NA	NA	NP	NP
BHLHE40 (NB100-1800)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP
BRF1 (128)	NA	NA	NA	NA	NA	NA	NA	NA	NP	NP
BRF2 (4295)	NA	NA	NA	NA	NA	NA	NA	NA	NP	NP
BRG1 (SC-17796)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP
C-FOS (SC-7202)	NA	NA	NP	NA	NA	NA	NA	NA	NA	NP
C-JUN (SC-1694)	NA	NP	NP	NA	NA	NA	NA	NA	NA	NP
C-MYC (SC-764)	NA	NP	NP	NP	NA	NA	NA	NA	NA	NP
CBP (SC-369)	NA	NA	NA	NA	BP	NA	NA	NA	NA	NA
CBX2 (A302-524A)	NA	NA	NA	NA	BP	NA	NA	NA	NA	NA
CBX3 (SC-101004)	BP	NA	NA	NA	BP	NA	NA	NA	NA	NP
CBX8 (A300-882A)	NA	NA	NA	NA	BP	NA	NA	NA	NA	NA
CCNT2 (SC-12419)	NA	NA	NA	NA	NA	NA	NA	NA	NP	NP
CDP (SC-6327)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NA
CEBPB (SC-150)	BP	NP	NA	NA	NA	NA	NA	NA	NA	NP
CEBPD (SC-636)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHD1 (A301-218A)	NA	NA	NA	NA	BP	NA	NA	NA	NA	NP
CHD2 (AB68301)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP
CHD4/MI2 (A301-081A)	NA	NA	NA	NA	BP	NA	NA	NA	NA	NA
CHD7 (A301-223A)	NA	NA	NA	NA	BP	NA	NA	NA	NA	NA
CREB1 (SC-240)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NA
CTCF (07-729)	NA	NA	NA	NP	BP	NA	NP	NA	NA	NP
CTCF (SC-15914)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP
CTCF (SC-5916)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
CTCFL (SC-98982)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
E2F4 (SC-866)	NA	NA	NA	NA	NA	NP	NA	NA	NA	NP
E2F6 (SC-22823)	BP	NA	NA	NA	NA	NP	NA	NA	NA	NP
EGR1 (SC-110)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
ELF1 (SC-631)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
ELK1 (1277-1)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP
ETS1 (SC-350)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
EZH2 (39875)	NA	NA	NA	NA	BP	NA	NA	NA	NA	NP
FOS (EGFP-FOS)	NA	NA	NA	NA	NA	NA	NA	NP	NA	NP
FOSL1 (SC-183)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
