61	9	asc
0.2316	0.2048	0.2185	0.0866	0.4189	0.4131	0.3155	0.2089	0.0758
0.129	0.1093	0.1618	0.0447	0.3039	0.3007	0.2466	0.1652	0.0298
0.5894	0.5517	0.3605	0.2733	0.8816	0.8792	0.4268	0.216	0.2463
0.8676	0.8357	0.6901	0.5861	0.9523	0.9518	0.8166	0.7333	0.5716
0.9576	0.945	0.9156	0.7308	0.9573	0.9546	0.8493	0.7957	0.6841
0.7617	0.7261	0.6802	0.5092	0.8024	0.7984	0.6752	0.5703	0.4623
0.3958	0.353	0.3388	0.1407	0.7865	0.7819	0.4207	0.2945	0.1378
0.0986	0.0842	0.087	0.0304	0.4187	0.4126	0.2054	0.1244	0.0233
0.4066	0.3637	0.378	0.1127	0.6908	0.6884	0.5522	0.4502	0.0816
0.31	0.2842	0.1242	0.1528	0.8099	0.8078	0.3305	0.1749	0.1236
0.5667	0.5359	0.4077	0.3449	0.8513	0.8513	0.4872	0.3564	0.3103
0.7584	0.7268	0.6034	0.5023	0.7926	0.7885	0.6418	0.493	0.4609
0.8885	0.8625	0.7414	0.6326	0.9577	0.9569	0.8289	0.7372	0.6445
0.9692	0.9591	0.3778	0.8229	0.972	0.9709	0.8767	0.8251	0.7814
0.9433	0.9267	0.3467	0.8034	0.8948	0.8932	0.8893	0.8109	0.7313
0.2073	0.1771	0.2025	0.0988	0.8225	0.8196	0.3271	0.2362	0.0783
0.5131	0.4867	0.4892	0.3021	0.7585	0.7548	0.5088	0.4154	0.2359
0.7417	0.7088	0.5963	0.4691	0.7212	0.7179	0.6047	0.4251	0.4363
0.7565	0.7089	0.7937	0.5156	0.618	0.6203	0.6245	0.5214	0.2531
0.6559	0.6034	0.7765	0.4737	0.5874	0.587	0.5164	0.407	0.1318
0.5569	0.509	0.5186	0.2138	0.6535	0.6556	0.5236	0.4136	0.1263
0.9168	0.8581	0.9555	0.8301	0.7694	0.7674	0.7347	0.6397	0.1888
0.1908	0.1728	0.1993	0.0619	0.3364	0.3358	0.3957	0.3297	0.0098
0.7171	0.689	0.792	0.2738	0.8596	0.8592	0.4544	0.3103	0.1967
0.9131	0.8805	0.9582	0.4254	0.9373	0.9368	0.6506	0.5104	0.4301
0.8491	0.8168	0.9152	0.3666	0.9056	0.9076	0.7881	0.728	0.2692
0.7657	0.6786	0.8662	0.6282	0.5803	0.5787	0.5828	0.4467	0.1163
0.7625	0.7359	0.7294	0.2732	0.8523	0.8522	0.7259	0.6535	0.2428
0.7553	0.7023	0.8624	0.448	0.8315	0.8318	0.5406	0.4219	0.1088
0.7286	0.6745	0.8592	0.4102	0.8176	0.8189	0.522	0.3999	0.1045
0.7332	0.6884	0.7468	0.4009	0.768	0.7662	0.6394	0.5386	0.1874
0.9537	0.9303	0.9969	0.7167	0.9262	0.9227	0.8815	0.8266	0.4563
0.902	0.8781	0.9225	0.5763	0.8979	0.897	0.8413	0.7927	0.3939
0.9339	0.8729	0.9843	0.8558	0.8614	0.8641	0.7255	0.6095	0.3073
0.8441	0.7689	0.9325	0.7178	0.6751	0.6764	0.6313	0.4988	0.1752
0.3718	0.3398	0.6698	0.1387	0.9425	0.9415	0.5212	0.4412	0.0259
0.8306	0.7884	0.8479	0.5999	0.7142	0.7125	0.6597	0.5495	0.2664
0.6819	0.6293	0.8231	0.3398	0.7808	0.7815	0.5223	0.4036	0.0865
0.2245	0.2045	0.2659	0.1134	0.5274	0.5267	0.292	0.227	0.0176
0.2673	0.2427	0.3114	0.1432	0.504	0.5045	0.3078	0.2368	0.0254
0.5818	0.5186	0.8452	0.3696	0.6444	0.6411	0.5717	0.4625	0.0453
0.8055	0.7427	0.912	0.6383	0.9196	0.9192	0.5874	0.4638	0.1633
0.764	0.7453	0.8268	0.5092	0.9118	0.9118	0.6955	0.6291	0.3391
0.4868	0.4675	0.5557	0.2281	0.8374	0.8376	0.4558	0.3952	0.1638
0.7011	0.6449	0.7866	0.4062	0.5169	0.5151	0.5464	0.4092	0.0809
0.4162	0.385	0.4097	0.2013	0.7382	0.7374	0.4708	0.3768	0.0585
0.4325	0.4114	0.3595	0.1215	0.8331	0.8325	0.3793	0.2826	0.1219
0.6994	0.6705	0.6879	0.4489	0.8208	0.8189	0.6455	0.5723	0.2408
0.8644	0.8421	0.8644	0.6138	0.8287	0.8287	0.7366	0.6708	0.3761
0.9151	0.8786	0.9791	0.4498	0.953	0.9527	0.5268	0.3435	0.3167
0.9059	0.8909	0.9848	0.822	0.9828	0.9813	0.9282	0.9004	0.5539
0.923	0.9149	0.9914	0.8363	0.9782	0.9771	0.9292	0.902	0.5984
0.5636	0.5178	0.6867	0.3508	0.8269	0.8212	0.5655	0.4689	0.081
0.7763	0.7119	0.8746	0.7153	0.7458	0.7458	0.661	0.5932	0.1831
0.574	0.5212	0.7698	0.3033	0.8177	0.8165	0.5893	0.512	0.0816
0.7206	0.6575	0.7749	0.5023	0.5982	0.5961	0.5577	0.4381	0.0698
0.8359	0.8053	0.8626	0.5687	0.9275	0.9275	0.8511	0.7977	0.3397
0.8457	0.8185	0.8489	0.4702	0.9091	0.9094	0.8092	0.7569	0.2192
0.6126	0.589	0.6358	0.4675	0.8289	0.8282	0.6906	0.6375	0.2905
0.8169	0.7888	0.8154	0.479	0.7248	0.7236	0.6566	0.5454	0.3058
0.4731	0.4458	0.3954	0.1437	0.998	0.9981	0.5634	0.4936	0.0996
