FACTOR	SPEARMAN	PVALUE
ARID3A	0.697576035816159	7.39579114751318e-16
ATF3	0.814439887312059	6.70371856227603e-25
BHLHE40	0.680370119244888	6.92044756266002e-15
BRCA1	0.673062860763463	1.70968225852492e-14
CEBPB	0.689495017989956	2.15509998026712e-15
CTCF	0.459237923792379	2.03768094153358e-06
ELF1	0.701270334668099	4.48214603177264e-16
GABP	0.653449305281385	1.71429002308036e-13
JUN	0.637279551643947	1.0134443578958e-12
JUND	0.745144749912595	6.13327219367466e-19
MAFF	0.747910253531093	3.86948647491085e-19
MAFK	0.705421007203603	2.53002700978786e-16
MAX	0.803204320432043	0
MYC	0.76004800480048	0
NRF1	0.412925292529253	2.32645389441693e-05
P300	0.616984953339053	8.1716334122619e-12
RAD21	0.465298529852985	1.44487908584668e-06
REST	0.687487061089377	2.79607377101311e-15
RXRA	0.867614761476148	0
SP1	0.517395739573957	5.71315378248014e-08
SP2	0.508804406856196	6.47870217666766e-08
SRF	0.601463559552353	3.65529850353666e-11
TBP	0.711011101110111	0
USF1	0.718187818781878	0
USF2	0.657173717371737	0
YY1	0.905421258393689	3.02594598975965e-38
